scenario_id,commodity,raw_value,raw_unit,multiplier,formal_value,formal_unit,rounding_status,rationale,provenance_identity
omega_11,Water,4400.0,1000 gallons,1000.0,4400000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_11,Seasonal Influenza Vaccine,28007.0,abstract medical unit,10.0603621730382,281760.563380282,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_11,Crackers,3921.0,1000 meals,14000.0,54894000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_12,Water,600.0,1000 gallons,1000.0,600000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_12,Seasonal Influenza Vaccine,720.0,abstract medical unit,10.0603621730382,7243.46076458752,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_12,Crackers,324.0,1000 meals,14000.0,4536000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_13,Water,1040.0,1000 gallons,1000.0,1040000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_13,Seasonal Influenza Vaccine,95000.0,abstract medical unit,10.0603621730382,955734.406438632,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_13,Crackers,13300.0,1000 meals,14000.0,186200000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_14,Water,1500.0,1000 gallons,1000.0,1500000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_14,Seasonal Influenza Vaccine,360.0,abstract medical unit,10.0603621730382,3621.73038229376,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_14,Crackers,162.0,1000 meals,14000.0,2268000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_15,Water,1000.0,1000 gallons,1000.0,1000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_15,Seasonal Influenza Vaccine,1751.0,abstract medical unit,10.0603621730382,17615.6941649899,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_15,Crackers,1838.0,1000 meals,14000.0,25732000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_16,Water,910.0,1000 gallons,1000.0,910000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_16,Seasonal Influenza Vaccine,1383.0,abstract medical unit,10.0603621730382,13913.4808853119,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_16,Crackers,1452.0,1000 meals,14000.0,20328000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_17,Water,9350.0,1000 gallons,1000.0,9350000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_17,Seasonal Influenza Vaccine,4260.0,abstract medical unit,10.0603621730382,42857.1428571429,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_17,Crackers,2217.0,1000 meals,14000.0,31038000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_18,Water,950.0,1000 gallons,1000.0,950000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_18,Seasonal Influenza Vaccine,1220.0,abstract medical unit,10.0603621730382,12273.6418511066,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_18,Crackers,849.0,1000 meals,14000.0,11886000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_19,Water,2810.0,1000 gallons,1000.0,2810000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_19,Seasonal Influenza Vaccine,19633.0,abstract medical unit,10.0603621730382,197515.09054326,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_19,Crackers,2052.0,1000 meals,14000.0,28728000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_20,Water,5068.0,1000 gallons,1000.0,5068000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_20,Seasonal Influenza Vaccine,19321.0,abstract medical unit,10.0603621730382,194376.257545272,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_20,Crackers,1205.0,1000 meals,14000.0,16870000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_21,Water,3290.0,1000 gallons,1000.0,3290000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_21,Seasonal Influenza Vaccine,113750.0,abstract medical unit,10.0603621730382,1144366.1971831,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_21,Crackers,14425.0,1000 meals,14000.0,201950000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_22,Water,3750.0,1000 gallons,1000.0,3750000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_22,Seasonal Influenza Vaccine,19110.0,abstract medical unit,10.0603621730382,192253.521126761,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_22,Crackers,1287.0,1000 meals,14000.0,18018000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_23,Water,8060.0,1000 gallons,1000.0,8060000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_23,Seasonal Influenza Vaccine,2570.0,abstract medical unit,10.0603621730382,25855.1307847082,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_23,Crackers,2698.0,1000 meals,14000.0,37772000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_24,Water,1560.0,1000 gallons,1000.0,1560000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_24,Seasonal Influenza Vaccine,2634.0,abstract medical unit,10.0603621730382,26498.9939637827,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_24,Crackers,2765.0,1000 meals,14000.0,38710000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_25,Water,18350.0,1000 gallons,1000.0,18350000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_25,Seasonal Influenza Vaccine,5000.0,abstract medical unit,10.0603621730382,50301.8108651911,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_25,Crackers,1155.0,1000 meals,14000.0,16170000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_26,Water,18861.0,1000 gallons,1000.0,18861000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_26,Seasonal Influenza Vaccine,4902.0,abstract medical unit,10.0603621730382,49315.8953722334,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_26,Crackers,811.0,1000 meals,14000.0,11354000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_27,Water,18560.0,1000 gallons,1000.0,18560000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_27,Seasonal Influenza Vaccine,5383.0,abstract medical unit,10.0603621730382,54154.9295774648,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_27,Crackers,1557.0,1000 meals,14000.0,21798000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_28,Water,27000.0,1000 gallons,1000.0,27000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_28,Seasonal Influenza Vaccine,8260.0,abstract medical unit,10.0603621730382,83098.5915492958,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_28,Crackers,2322.0,1000 meals,14000.0,32508000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_29,Water,20239.0,1000 gallons,1000.0,20239000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_29,Seasonal Influenza Vaccine,15051.0,abstract medical unit,10.0603621730382,151418.511066398,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_29,Crackers,2107.0,1000 meals,14000.0,29498000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_30,Water,3378.0,1000 gallons,1000.0,3378000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_30,Seasonal Influenza Vaccine,1454.0,abstract medical unit,10.0603621730382,14627.7665995976,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_30,Crackers,1007.0,1000 meals,14000.0,14098000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_31,Water,4318.0,1000 gallons,1000.0,4318000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_31,Seasonal Influenza Vaccine,931.0,abstract medical unit,10.0603621730382,9366.19718309859,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_31,Crackers,242.0,1000 meals,14000.0,3388000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_32,Water,9560.0,1000 gallons,1000.0,9560000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_32,Seasonal Influenza Vaccine,4643.0,abstract medical unit,10.0603621730382,46710.2615694165,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_32,Crackers,2619.0,1000 meals,14000.0,36666000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_33,Water,12500.0,1000 gallons,1000.0,12500000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_33,Seasonal Influenza Vaccine,14187.0,abstract medical unit,10.0603621730382,142726.358148893,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_33,Crackers,3521.0,1000 meals,14000.0,49294000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_34,Water,23000.0,1000 gallons,1000.0,23000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_34,Seasonal Influenza Vaccine,17000.0,abstract medical unit,10.0603621730382,171026.15694165,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_34,Crackers,2380.0,1000 meals,14000.0,33320000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_35,Water,7818.0,1000 gallons,1000.0,7818000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_35,Seasonal Influenza Vaccine,13071.0,abstract medical unit,10.0603621730382,131498.993963783,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_35,Crackers,1830.0,1000 meals,14000.0,25620000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_36,Water,5600.0,1000 gallons,1000.0,5600000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_36,Seasonal Influenza Vaccine,13220.0,abstract medical unit,10.0603621730382,132997.987927565,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_36,Crackers,2074.0,1000 meals,14000.0,29036000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_37,Water,3100.0,1000 gallons,1000.0,3100000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_37,Seasonal Influenza Vaccine,10953.0,abstract medical unit,10.0603621730382,110191.146881288,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_37,Crackers,1658.0,1000 meals,14000.0,23212000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_38,Water,3239.0,1000 gallons,1000.0,3239000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_38,Seasonal Influenza Vaccine,12302.0,abstract medical unit,10.0603621730382,123762.575452716,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
