replicate_id,transition,metric,start_value,end_value,absolute_change,growth_ratio
E5C-R22,6_to_9,scenario_evaluations,203.0,203.0,0.0,1.0
E5C-R23,6_to_9,scenario_evaluations,202.0,202.0,0.0,1.0
E5C-R24,6_to_9,scenario_evaluations,202.0,202.0,0.0,1.0
E5C-R25,6_to_9,scenario_evaluations,202.0,202.0,0.0,1.0
E5C-R26,6_to_9,scenario_evaluations,205.0,205.0,0.0,1.0
E5C-R27,6_to_9,scenario_evaluations,202.0,202.0,0.0,1.0
E5C-R28,6_to_9,scenario_evaluations,204.0,204.0,0.0,1.0
E5C-R29,6_to_9,scenario_evaluations,202.0,202.0,0.0,1.0
E5C-R30,6_to_9,scenario_evaluations,205.0,205.0,0.0,1.0
E5C-R01,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R02,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R03,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R04,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R05,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R06,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R07,6_to_9,candidate_hits,1.0,1.0,0.0,1.0
E5C-R08,6_to_9,candidate_hits,1.0,1.0,0.0,1.0
E5C-R09,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R10,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R11,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R12,6_to_9,candidate_hits,1.0,1.0,0.0,1.0
E5C-R13,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R14,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R15,6_to_9,candidate_hits,1.0,1.0,0.0,1.0
E5C-R16,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R17,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R18,6_to_9,candidate_hits,0.0,0.0,0.0,unavailable
E5C-R19,6_to_9,candidate_hits,1.0,1.0,0.0,1.0
E5C-R20,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
E5C-R21,6_to_9,candidate_hits,2.0,2.0,0.0,1.0
