item_size,algorithm,min,Q25,median,mean,Q75,P90,P95,max
3,A0,2.150718400022015,4.319284474986489,4.342706849973183,4.266300153326786,4.360566475006635,4.3741764199861795,4.3783516849944135,4.414318899973296
3,A1,1.8113956000306644,3.6858661499863956,3.7520278000156395,3.6990879366678806,3.8343220750102773,3.856758160016034,3.8978928349970374,3.9521602999884635
6,A0,3.26105989998905,6.5551245249807835,6.583113800006686,6.4655206266693614,6.600062825003988,6.615769559994805,6.6228810399712525,6.638754500017967
6,A1,2.7264433999662288,5.496165649979957,5.563533849985106,5.493219346663682,5.653856224977062,5.726710669981549,5.8065806650061855,5.836367500014603
9,A0,4.305137400049716,8.602384124998935,8.626474499993492,8.498715770000127,8.682472024986055,8.704540849954356,8.746857160003856,8.776014399947599
9,A1,3.570464099990204,7.120691824995447,7.229678549978416,7.131544940000944,7.366247250000015,7.491184590035118,7.525064335021306,7.5517681000055745
