item_size,min,Q25,median,mean,Q75,P90,P95,max,geometric_mean,A1_faster,A0_faster,ties
3,1.1038947737046205,1.13320775933312,1.158362536598267,1.154397012540663,1.1754039638542308,1.1809607381184768,1.1878909100219122,1.1950237158193258,1.1541448618918007,30,0,0
6,1.1315126038349885,1.1553357234713426,1.1804865563584066,1.1777623631663092,1.1973799113395271,1.2036929060809436,1.207154684086043,1.2131209998249513,1.1775247184169908,30,0,0
9,1.1507974708154618,1.1765847363711948,1.198656124134505,1.192353251139219,1.2106410197812405,1.2155276042855536,1.2181678475714728,1.2194787282278954,1.192157403789074,30,0,0
