chn_evidence_id,paper_country_code,affected_country,affected_country_code,chn_site_code,chn_site_name,event_date,storm_name,wind_mph,chn_original_category,closest_point_of_approach_miles,hurdat_storm_id,match_status,candidate_hurdat_ids,hurdat_original_category,category_conflict_flag,adopted_category,adoption_rule,source_dataset,source_reference,source_locator,source_url,source_sha256,proximity_rule,provenance_class
CHN-TQPF-19960708-049,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1996-07-08,BERTHA,81,H1,21,AL021996,CONFIRMED_EXACT_NAME_DATE,AL021996,H3,YES,H3,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:49,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19980821-050,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1998-08-21,BONNIE,52,TS,63,AL021998,CONFIRMED_EXACT_NAME_DATE,AL021998,H3,YES,H3,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:50,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19980921-051,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1998-09-21,GEORGES,115,H3,61,AL071998,CONFIRMED_EXACT_NAME_DATE,AL071998,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:51,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19991021-052,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1999-10-21,JOSE,86,H1,27,AL141999,CONFIRMED_EXACT_NAME_DATE,AL141999,H2,YES,H2,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:52,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19991118-053,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1999-11-18,LENNY,144,H4,7,AL161999,CONFIRMED_EXACT_NAME_DATE,AL161999,H4,NO,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:53,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20000822-054,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2000-08-22,DEBBY,75,H1,14,AL072000,CONFIRMED_EXACT_NAME_DATE,AL072000,H1,NO,H1,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:54,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20060802-055,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2006-08-02,CHRIS,63,TS,49,AL042006,CONFIRMED_EXACT_NAME_DATE,AL042006,TS_OR_LOWER,NO,TS_OR_LOWER,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:55,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20071210-056,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2007-12-10,OLGA,40,TS,7,AL172007,CONFIRMED_EXACT_NAME_DATE,AL172007,TS_OR_LOWER,NO,TS_OR_LOWER,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:56,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20081016-057,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2008-10-16,OMAR,132,H4,34,AL152008,CONFIRMED_EXACT_NAME_DATE,AL152008,H4,NO,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:57,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20100830-058,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2010-08-30,EARL,121,H3,19,AL072010,CONFIRMED_EXACT_NAME_DATE,AL072010,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:58,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20110821-059,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2011-08-21,IRENE,58,TS,61,AL092011,CONFIRMED_EXACT_NAME_DATE,AL092011,H3,YES,H3,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:59,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20110911-060,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2011-09-11,MARIA,58,TS,19,AL142011,CONFIRMED_EXACT_NAME_DATE,AL142011,H1,YES,H1,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:60,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20121014-061,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2012-10-14,RAFAEL,52,TS,29,AL172012,CONFIRMED_EXACT_NAME_DATE,AL172012,H1,YES,H1,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:61,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20141014-062,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2014-10-14,GONZALO,104,H2,1,AL082014,CONFIRMED_EXACT_NAME_DATE,AL082014,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:62,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-20170906-063,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",2017-09-06,IRMA,178,H5,7,AL112017,CONFIRMED_EXACT_NAME_DATE,AL112017,H5,NO,H5,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:63,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19500822-038,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1950-08-22,BAKER,98,H2,14,AL021950,CONFIRMED_EXACT_NAME_DATE,AL021950,H2,NO,H2,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:38,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19500901-039,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1950-09-01,DOG,132,H4,8,AL041950,CONFIRMED_EXACT_NAME_DATE,AL041950,H4,NO,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:39,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
