conflict_id,conflict_type,hurdat_storm_id,country_code,source_a,value_a,source_b,value_b,resolution,status,notes
CATEGORY-CHN-MBPV-19630928-049,HURDAT_CHN_CATEGORY,AL061963,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-19631009-050,HURDAT_CHN_CATEGORY,AL071963,TCA,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H2,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-19810910-051,HURDAT_CHN_CATEGORY,AL151981,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-19851118-053,HURDAT_CHN_CATEGORY,AL131985,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-19870923-054,HURDAT_CHN_CATEGORY,AL121987,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-20040918-057,HURDAT_CHN_CATEGORY,AL112004,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-20050919-058,HURDAT_CHN_CATEGORY,AL182005,TCA,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-20101106-061,HURDAT_CHN_CATEGORY,AL212010,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-20140803-063,HURDAT_CHN_CATEGORY,AL032014,TCA,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBPV-20140824-064,HURDAT_CHN_CATEGORY,AL042014,TCA,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-19540907-039,HURDAT_CHN_CATEGORY,AL081954,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-19630928-043,HURDAT_CHN_CATEGORY,AL061963,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-19810909-044,HURDAT_CHN_CATEGORY,AL151981,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-19851118-046,HURDAT_CHN_CATEGORY,AL131985,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-19960912-047,HURDAT_CHN_CATEGORY,AL081996,TCA,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-20040918-050,HURDAT_CHN_CATEGORY,AL112004,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-20050918-051,HURDAT_CHN_CATEGORY,AL182005,TCA,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-20101106-054,HURDAT_CHN_CATEGORY,AL212010,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-20110824-055,HURDAT_CHN_CATEGORY,AL092011,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H2,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-20140803-056,HURDAT_CHN_CATEGORY,AL032014,TCA,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBSC-20170922-058,HURDAT_CHN_CATEGORY,AL152017,TCA,NOAA_NHC_HURDAT2,H5,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJP-19510818-035,HURDAT_CHN_CATEGORY,AL041951,JAM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MKJP-19740831-037,HURDAT_CHN_CATEGORY,AL101974,JAM,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
