scenario_size,min,Q25,median,mean,Q75,P90,P95,max,geometric_mean,A1_faster,A0_faster,ties
50,0.9910432729410201,1.0781880385584344,1.1058926903970072,1.097224479365757,1.129915561852928,1.1449720902685858,1.1478778138746908,1.153922943777342,1.0962936319399827,28,2,0
100,1.0805788598122847,1.1436469120241401,1.1569602732643358,1.1515221868854482,1.1715916275774922,1.1770979125942016,1.1795717389560976,1.1813931768766086,1.1511930448187675,30,0,0
200,1.1113918028301566,1.1800733134978012,1.19634057518717,1.1874310167132383,1.2045490689408926,1.210507039410466,1.2124513848839764,1.214733902617641,1.1871343953210585,30,0,0
500,1.1593633827821757,1.2203121368819547,1.232426272610356,1.2235840315010156,1.2367910646694948,1.2396655045309481,1.2455456353806256,1.2510701277318192,1.2233768560637945,30,0,0
