scenario_size,algorithm,min,Q25,median,mean,Q75,P90,P95,max
50,A0,1.4200116000138223,1.4319070000055945,1.4441379499912728,1.4465216733360042,1.4563673999946332,1.4736298500152771,1.4786937300174032,1.4879247000208125
50,A1,1.2561699000070803,1.2727228999865474,1.3123375999857672,1.3206123766683353,1.3400058750266908,1.3959888799872715,1.453674135019537,1.466547099989839
100,A0,4.254617500002496,4.274169999989681,4.298945399990771,4.322230486670742,4.371873775002314,4.409506950009382,4.412450155001716,4.44700450001983
100,A1,3.6081373000051826,3.6857435000129044,3.7350563000072725,3.755732353342076,3.803019575032522,3.8842569800268394,3.9957104949920903,4.043078000016976
200,A0,13.980157699959818,14.100301475031301,14.181590699998196,14.455477639995904,14.338397874962538,14.44399896003306,14.556225480005377,21.147390600002836
200,A1,11.61903479998,11.766327500008629,11.923097749997396,12.177353586662017,12.113795699973707,12.590309069986688,12.77589107498352,17.60134160000598
500,A0,75.45651059999363,75.84908374998486,76.14099750001333,76.54060080667259,77.43749330000719,77.70061076997663,78.33430733000569,78.80251639999915
500,A1,61.0368491000263,61.544948850001674,62.16549879999366,62.57695032333916,63.21692322501622,64.7897215000412,65.65140622998005,66.90925409999909
