algorithm,min,Q25,median,mean,Q75,P90,P95,max
A0,0.5145872999564745,0.5300025000033202,0.5374406500195619,0.7412887145022978,0.558151374978479,1.4421517900249454,1.4852015450160252,1.5628360999980941
A1,0.501357100030873,0.521516500011785,0.530386800004635,0.7391170534977572,0.6548647499876097,1.409985560021596,1.4678422449884239,1.668012899986934
