scope,reliability_level,metric,N,mean,median,Q10,Q25,Q50,Q75,Q90,min,max
ALL,R0,A_R1,1023,2.123130413921787,1.567709286659525,0.5306197931195613,0.9337982569046008,1.567709286659525,2.5830660965704455,4.256557888936647,0.1718221664590044,13.315827790564212
ALL,R0,A_R2,1023,2.4517648101319223,1.8017679246363796,0.613081257272419,1.0682135664842318,1.8017679246363796,3.190976722155103,5.0395656272748,0.11973161282333747,13.455118360277103
ALL,R0,eta_1,1023,0.2671435007250834,0.26570203283611404,0.092958950384122,0.15028467460225814,0.26570203283611404,0.378256990709494,0.4474347199858145,0.05049156107330146,0.4993755488346938
ALL,R0,eta_2,1023,0.6414617828370922,0.6430125666709949,0.4461647697177625,0.5187183810953958,0.6430125666709949,0.7609014005370247,0.8371686714515759,0.400701622008558,0.8996915263714182
ALL,R0,c_R1_ratio,1023,0.1712824626843186,0.1735600332284841,0.06019959820809734,0.10618646571290913,0.1735600332284841,0.24035435736328645,0.2741335090987452,0.02019053262125122,0.29987725390973463
ALL,R0,c_R2_ratio,1023,0.3839334614620559,0.38551636721752913,0.20883458388416035,0.27974127652580544,0.38551636721752913,0.4878490820086678,0.558133444759454,0.15151985334872117,0.5997322921903891
ALL,R0,incremental_reliability_gain,1023,0.37431828211200885,0.36145720289782635,0.13293909356468528,0.2464590013271803,0.36145720289782635,0.5025927908648246,0.6288278282821295,0.05077356376781195,0.8258424986856608
ALL,R0,incremental_reliability_cost_ratio,1023,0.21265099877773735,0.2019959175701255,0.07357832673819346,0.11393636705712767,0.2019959175701255,0.29557781894368595,0.37589008466959295,0.050041977607715143,0.5674917098381396
ALL,R0,phi,1023,0.20151977979505664,0.18395615118561082,0.03873204360264842,0.08901713677000066,0.18395615118561082,0.3037149266269013,0.39862471504339075,9.345790823462791e-05,0.49949101114727723
ALL,R0,psi,1023,0.9478493806057442,0.9294566313458364,0.5858560583251584,0.7105638051845237,0.9294566313458364,1.1668960191958293,1.3480249611915112,0.5014347464120259,1.4966679999279418
ALL,R0,rho_F_severity_score,1023,0.2647538831311346,0.26039135292758436,0.12156315375517125,0.16658813148157683,0.26039135292758436,0.35899295091174627,0.4151338702183895,0.09130681313861218,0.48060442995753216
ALL,R0,F_quantity,1023,118408475.80495356,34083808.768023744,1433210.3863080854,13434604.30443114,34083808.768023744,203466094.19222772,306972162.9141169,196137.50022073358,893509032.8667613
ALL,R0,F_exposure,1023,34744010.26371929,11161194.413298354,265774.9910329175,1957520.2176423166,11161194.413298354,49384358.61617862,95278742.74040742,34107.647002645586,397104464.10295993
ALL,R0,budget_usage,1023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,1.0000000000000002
ALL,R1,A_R1,86,8.165313463223804,7.179224904060392,2.783373244942326,4.144142124476389,7.179224904060392,11.428938095861527,15.641928747288974,1.1792986454576855,21.141388269733604
ALL,R1,A_R2,86,1.0712170294083727,0.9092294063383075,0.38953484072740674,0.5637614771978686,0.9092294063383075,1.3661751958520332,2.113615810163626,0.11445817707645739,3.0798279123025236
ALL,R1,eta_1,86,0.3722041883966072,0.3928281792351498,0.21254143447049062,0.3144119796475071,0.3928281792351498,0.4644343768240508,0.4806311865367417,0.07858917233751901,0.4997586661539175
ALL,R1,eta_2,86,0.6259441018484012,0.6077697175864646,0.4506947235843266,0.5324014905302383,0.6077697175864646,0.7218750310088439,0.8151456538545125,0.40607355707147497,0.8898277612718386
ALL,R1,c_R1_ratio,86,0.062349678030177,0.05183155993351918,0.024766584528577336,0.03356766751618815,0.05183155993351918,0.07789462460227028,0.11648665190133892,0.0204971421944711,0.22866609873734264
ALL,R1,c_R2_ratio,86,0.34217603509782735,0.30303932923272825,0.16748833595149776,0.2051115982717923,0.30303932923272825,0.49445331374213247,0.5384465141166098,0.15203550883957306,0.5956905227542094
ALL,R1,incremental_reliability_gain,86,0.253739913451794,0.23105549252147484,0.0886480437458387,0.1494416395000518,0.23105549252147484,0.3362960643854839,0.477945514639043,0.05323852533392537,0.5888228366162611
ALL,R1,incremental_reliability_cost_ratio,86,0.27982635706765036,0.23337998348652345,0.11577386004516105,0.16537468891015114,0.23337998348652345,0.4150394582531094,0.48746389226674725,0.07281469452045515,0.5524237007318501
ALL,R1,phi,86,0.327908823225858,0.3484709954843226,0.18408399990068586,0.23090493500264156,0.3484709954843226,0.41971947356948947,0.4667874680341782,0.058623063692198475,0.4867391078625588
ALL,R1,psi,86,0.8887243979952852,0.868263291906373,0.5631151130909973,0.6892356856732711,0.868263291906373,1.0861882030384558,1.210269301636169,0.5004994937440383,1.3797795601297538
ALL,R1,rho_F_severity_score,86,0.3356947765289814,0.36064210694520915,0.19801500277617867,0.26787934598732493,0.36064210694520915,0.4083557304225842,0.43581023509166017,0.14208750565919942,0.46904263850357564
ALL,R1,F_quantity,86,69001494.3830989,1933423.1911609638,1264296.0441592934,1428242.7030873573,1933423.1911609638,166238655.02231258,214912668.40577596,475415.5846246806,336750925.6573032
ALL,R1,F_exposure,86,24274785.38349064,746049.060726544,322590.03355038725,508781.15468022326,746049.060726544,46337739.58855179,76141905.91856417,126811.22983181244,157950542.68882295
ALL,R1,budget_usage,86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0
ALL,R2,A_R1,51,1.8240940187542467,1.5309916207877008,0.5736487659208919,0.7047117370365281,1.5309916207877008,2.70360128646129,3.6809116565610838,0.365059475384387,4.715876948720668
ALL,R2,A_R2,51,5.820441904890978,4.6064943327796,2.3874290732422043,3.719877282956138,4.6064943327796,7.945233926830214,10.258734845542092,1.5991579260558157,14.516674015271487
ALL,R2,eta_1,51,0.2358955169635075,0.22320223994092336,0.06498092836973181,0.13139497759907337,0.22320223994092336,0.34197828217053233,0.43674586392075154,0.053904539647864944,0.4598728817809743
ALL,R2,eta_2,51,0.7770532504045169,0.7800516690584,0.6261832770491935,0.7208430927422161,0.7800516690584,0.8652929973209754,0.8868056684289721,0.5801519330074962,0.8992834895917758
ALL,R2,c_R1_ratio,51,0.15291305206287764,0.1408313938821219,0.06544300957940807,0.10471404152042667,0.1408313938821219,0.20485147991105124,0.24332350077623824,0.05802352798444822,0.2948630747742453
ALL,R2,c_R2_ratio,51,0.2681528493052597,0.2417131260902166,0.1786398903279736,0.19518510804794775,0.2417131260902166,0.3285281524659983,0.3852808427207547,0.15018554757599004,0.4873358582192894
ALL,R2,incremental_reliability_gain,51,0.5411577334410096,0.5310502514348279,0.3580724649790054,0.43528647456111397,0.5310502514348279,0.6642455586590577,0.733898019721902,0.2294347914929974,0.8302729074035213
ALL,R2,incremental_reliability_cost_ratio,51,0.11523979724238208,0.10314940730791114,0.05611746469101825,0.07211993576868242,0.10314940730791114,0.14932190511359938,0.1876967585838764,0.05137691369669649,0.3329867954522419
ALL,R2,phi,51,0.35466769410829685,0.36828016761466137,0.22894114703780438,0.2894860934253991,0.36828016761466137,0.4307361055073164,0.4787984855171076,0.1655676063338428,0.492183022877993
ALL,R2,psi,51,0.9308012369273277,0.8822538715129645,0.6307486734960857,0.6962825032812275,0.8822538715129645,1.197519487592126,1.2601927886478643,0.5039634109539316,1.407202961486044
ALL,R2,rho_F_severity_score,51,0.40536957544577,0.41164466007271666,0.3234319968552793,0.37796480095394824,0.41164466007271666,0.448903250481413,0.47580199741651724,0.22812030395657676,0.4850615953221363
ALL,R2,F_quantity,51,69757728.47666958,14409950.081864683,588538.6053441497,1050635.9186702236,14409950.081864683,155757977.66808626,177179552.2056202,129772.10644172931,189663294.36075905
ALL,R2,F_exposure,51,27162361.017500345,6856283.031623523,204374.09153470976,443277.5609155131,6856283.031623523,61362135.61141248,66480950.98657576,52680.140832464276,82755649.50586252
ALL,R2,budget_usage,51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0
Water,R0,A_R1,343,2.0799264541104368,1.5344930957439784,0.5292241406099434,0.9215907247171502,1.5344930957439784,2.6408414772880464,4.244694590608681,0.1718221664590044,10.843315208033008
Water,R0,A_R2,343,2.5055443503725563,1.8264281128379038,0.6034265953459238,1.1129529018073607,1.8264281128379038,3.3087386769750333,4.936209779727167,0.2026246750023858,13.455118360277103
Water,R0,eta_1,343,0.26491928726530667,0.2604758550043704,0.09454686545101874,0.1470389475967177,0.2604758550043704,0.37144546879994844,0.44500723849352325,0.05049156107330146,0.4984670435134836
Water,R0,eta_2,343,0.6402703107457307,0.6478061235861562,0.4461290307127935,0.5199822147575712,0.6478061235861562,0.7540487826377397,0.8328574431232383,0.400701622008558,0.8996915263714182
Water,R0,c_R1_ratio,343,0.17214834524072373,0.17147004952873746,0.0649986052810875,0.10577362797788287,0.17147004952873746,0.24384576225262067,0.27355274119021017,0.02019053262125122,0.29987725390973463
Water,R0,c_R2_ratio,343,0.38275779101730495,0.38357422592556467,0.20666724513326937,0.2787133925967961,0.38357422592556467,0.48669206877669247,0.5587408560714153,0.15370829105560013,0.5997322921903891
Water,R0,incremental_reliability_gain,343,0.375351023480424,0.3602592500947166,0.13293909356468528,0.24779920721463786,0.3602592500947166,0.5037506711525155,0.6261431156106428,0.05434671176582062,0.816506856453711
Water,R0,incremental_reliability_cost_ratio,343,0.21060944577658122,0.19980077932684936,0.07251541525382808,0.11026429676310665,0.19980077932684936,0.29557781894368595,0.3665859754521661,0.050685323952299105,0.5269959277368399
Water,R0,phi,343,0.1945310971359635,0.1789899300414907,0.04494567013617616,0.09115210894864931,0.1789899300414907,0.2852745347095663,0.3814971439212491,0.0010915859002043828,0.49360411786971753
Water,R0,psi,343,0.9378939168990639,0.9127847989584041,0.5940087489819307,0.7076109425730839,0.9127847989584041,1.1422381872520622,1.3430721675290132,0.5014347464120259,1.495073832536868
Water,R0,rho_F_severity_score,343,0.26348937503373254,0.2622709432970756,0.12134304665075049,0.1661621875458181,0.2622709432970756,0.35910249202774824,0.4115351891490718,0.09130681313861218,0.48060442995753216
Water,R0,F_quantity,343,16056891.467492498,15877474.295728104,548809.8988932915,13081782.809353162,15877474.295728104,20079981.512227196,25528187.557096865,382461.89001530973,34617641.201799534
Water,R0,F_exposure,343,4742871.927355501,3817356.156591052,199356.25709830006,1760564.4100052738,3817356.156591052,6994454.045364771,10223564.592308827,42570.2582544706,16414655.90277478
Water,R0,budget_usage,343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,1.0000000000000002
Water,R1,A_R1,5,8.148674503047834,7.661635417744541,4.040944074481242,5.927300318789617,7.661635417744541,10.65363563480678,12.491910993296258,2.783373244942326,13.71742789895591
Water,R1,A_R2,5,1.0429014620403965,1.036533431796728,0.3835667334914175,0.5087291620392577,1.036533431796728,1.2555037917428467,1.7703710027953146,0.30012511445952406,2.113615810163626
Water,R1,eta_1,5,0.3798508433481051,0.4311375880173286,0.2525944122036417,0.3848807781124196,0.4311375880173286,0.4495922475739162,0.46138095989300926,0.16440350159778977,0.4692401014390713
Water,R1,eta_2,5,0.7129489843508062,0.6856890866437177,0.5979696090773228,0.6077697175864646,0.6856890866437177,0.799130804655303,0.8480837875405116,0.5914362034045616,0.8807191094639841
Water,R1,c_R1_ratio,5,0.06177651316537279,0.042200828241679415,0.02655784468773625,0.03420758650204293,0.042200828241679415,0.07273759803440649,0.1120621609560846,0.021458016811531793,0.13827853623720332
Water,R1,c_R2_ratio,5,0.42975411147456244,0.4957804755182198,0.2796788213272119,0.3878337775902839,0.4957804755182198,0.5243704835539995,0.5296743755566868,0.20757551715183056,0.5332103035584784
Water,R1,incremental_reliability_gain,5,0.3330981410027011,0.34953855708138676,0.14723721584332916,0.160298615387233,0.34953855708138676,0.4958383313515645,0.5111066835681826,0.1385296161473933,0.5212855850459279
Water,R1,incremental_reliability_cost_ratio,5,0.36797759830918964,0.3949317673212751,0.22526328516844166,0.31509617955587743,0.3949317673212751,0.4615728890161769,0.4863766356519514,0.16537468891015114,0.5029124667424677
Water,R1,phi,5,0.44329501891200185,0.47717951777069556,0.38256481663710185,0.4118347512004549,0.47717951777069556,0.4806244022732012,0.48252069874175507,0.36305152692819986,0.4837848963874577
Water,R1,psi,5,1.075505358949495,1.1577977437559999,0.7613261942946875,1.1031381771584459,1.1577977437559999,1.2033597746510933,1.3092116459382896,0.5334515390521819,1.3797795601297538
Water,R1,rho_F_severity_score,5,0.2807935933096572,0.26787934598732493,0.16445850450599112,0.19801500277617867,0.26787934598732493,0.38423490320784215,0.4007446866337813,0.14208750565919942,0.4117512089177408
Water,R1,F_quantity,5,15398984.392715743,13836399.232464166,12291058.198710907,12301827.333069101,13836399.232464166,15393479.376301436,20064994.098083716,12283878.775805445,23179337.24593857
Water,R1,F_exposure,5,4632894.218250092,4123595.187793003,2021718.492440913,2432392.2898933575,4123595.187793003,5316427.51983093,7853043.087688706,1747935.96080595,9544120.132927222
Water,R1,budget_usage,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Water,R2,A_R1,8,1.829608777478118,1.5000577050626291,0.39051295050254403,0.5438266675762968,1.5000577050626291,2.7744643341627446,3.371769879168677,0.365059475384387,4.715876948720668
Water,R2,A_R2,8,5.908943032439117,4.772893062985576,2.607290481577069,3.733060452068486,4.772893062985576,7.485702993454052,9.872741580058868,2.3874290732422043,12.846897799892965
Water,R2,eta_1,8,0.15684908788685203,0.1468063734491588,0.05574429461217502,0.09161144985176417,0.1468063734491588,0.19713544781180467,0.27735471268142603,0.053904539647864944,0.3086211803304364
Water,R2,eta_2,8,0.7926949405064168,0.7950993231923884,0.6996787930072902,0.7651965236920512,0.7950993231923884,0.8704317209185065,0.8861352247264614,0.597508146719498,0.8868056684289721
Water,R2,c_R1_ratio,8,0.12249935205608699,0.12535779498555644,0.06163796629047019,0.06487901000424738,0.12535779498555644,0.15393232513695582,0.1875900089788491,0.05802352798444822,0.22221559646149622
Water,R2,c_R2_ratio,8,0.25601337377640543,0.24757351053383234,0.18114127660475163,0.19655454093296215,0.24757351053383234,0.32615579094355507,0.3310333072681139,0.1786398903279736,0.33687866847305026
Water,R2,incremental_reliability_gain,8,0.6358458526195647,0.6455143541251435,0.4778618025857565,0.5887568740683519,0.6455143541251435,0.7006457598282634,0.7628104860263878,0.4226458156286609,0.8302729074035213
