metric,metric_quintile,F_exposure_quintile,N,R0_count,R1_count,R2_count,R0_share,R1_share,R2_share
A_R1,1,1,39,34,0,5,0.8717948717948718,0.0,0.1282051282051282
A_R1,1,2,54,52,0,2,0.9629629629629629,0.0,0.037037037037037035
A_R1,1,3,54,50,0,4,0.9259259259259259,0.0,0.07407407407407407
A_R1,1,4,46,44,0,2,0.9565217391304348,0.0,0.043478260869565216
A_R1,1,5,39,37,0,2,0.9487179487179487,0.0,0.05128205128205128
A_R1,2,1,32,29,1,2,0.90625,0.03125,0.0625
A_R1,2,2,50,50,0,0,1.0,0.0,0.0
A_R1,2,3,49,49,0,0,1.0,0.0,0.0
A_R1,2,4,60,57,0,3,0.95,0.0,0.05
A_R1,2,5,41,37,0,4,0.9024390243902439,0.0,0.0975609756097561
A_R1,3,1,41,40,0,1,0.975609756097561,0.0,0.024390243902439025
A_R1,3,2,40,40,0,0,1.0,0.0,0.0
A_R1,3,3,47,47,0,0,1.0,0.0,0.0
A_R1,3,4,45,39,1,5,0.8666666666666667,0.022222222222222223,0.1111111111111111
A_R1,3,5,59,58,0,1,0.9830508474576272,0.0,0.01694915254237288
A_R1,4,1,44,33,5,6,0.75,0.11363636363636363,0.13636363636363635
A_R1,4,2,50,46,2,2,0.92,0.04,0.04
A_R1,4,3,49,45,1,3,0.9183673469387755,0.02040816326530612,0.061224489795918366
A_R1,4,4,38,37,0,1,0.9736842105263158,0.0,0.02631578947368421
A_R1,4,5,50,45,4,1,0.9,0.08,0.02
A_R1,5,1,76,35,37,4,0.4605263157894737,0.4868421052631579,0.05263157894736842
A_R1,5,2,38,29,8,1,0.7631578947368421,0.21052631578947367,0.02631578947368421
A_R1,5,3,33,29,4,0,0.8787878787878788,0.12121212121212122,0.0
A_R1,5,4,43,31,11,1,0.7209302325581395,0.2558139534883721,0.023255813953488372
A_R1,5,5,43,30,12,1,0.6976744186046512,0.27906976744186046,0.023255813953488372
