simulation_id,sample_index,input_sha256,scientific_first_stage_sha256,commodity,c_Q,F_active_row,F_active_item,reliability_level,eta_1,eta_2,c_R1_ratio,c_R2_ratio,c_R1,c_R2,incremental_reliability_gain,incremental_reliability_cost_ratio,A_R1,A_R2,phi,psi,rho_F_severity_score,F_quantity,F_exposure,Q_quantity,budget_usage,policy_label,observation_sha256
LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,86fdfad36047d86fa2aecfba6f5a671a13894d9754c080fd483553dad1d69466,Crackers,0.09372,False,False,NONE,0.14984413737456603,0.7922432540765625,0.0570769506862477,0.18299684330340973,0.005349251818315135,0.01715046415439556,0.6423991167019965,0.12591989261716202,2.62530032829294,5.101649178300219,0.44017313801230057,1.1428479479630251,0.4004092897967698,0.0,0.0,0.0,1.0,P1,fadd77523368692e101a445bcba1b29ab6d9e89c3fdd842e1fa561b84fcfbafe
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,08bc1fd84ddb1bc731209a12396938a59f923d50a1a9dff3d2fed5934280d737,Water,0.6477,True,False,NONE,0.14659492939636729,0.8262602402911685,0.07340987471879275,0.18563696459542925,0.04754757585536207,0.12023706196845954,0.6796653108948012,0.1122270898766365,1.9969374686705377,6.056160875613102,0.4011770765818714,0.9604058962344366,0.22812030395657676,0.0,0.0,0.0,1.0,P4,f91315161bb174d19fa32f682578b48a78f7821ae2f016587a43ac0353838fe2
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,08bc1fd84ddb1bc731209a12396938a59f923d50a1a9dff3d2fed5934280d737,Vaccine,13.916,True,False,NONE,0.14659492939636729,0.8262602402911685,0.07340987471879275,0.18563696459542925,1.0215718165867198,2.5833239993099935,0.6796653108948012,0.1122270898766365,1.9969374686705377,6.056160875613102,0.4011770765818714,0.9604058962344366,0.22812030395657676,0.0,0.0,0.0,1.0,P4,4f1594ff5a39c8ca834d2819a1ea5e3f819ada2ac428ddeac0409eaa2c86757f
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,08bc1fd84ddb1bc731209a12396938a59f923d50a1a9dff3d2fed5934280d737,Crackers,0.09372,True,True,R2,0.14659492939636729,0.8262602402911685,0.07340987471879275,0.18563696459542925,0.0068799734586452565,0.01739789632188363,0.6796653108948012,0.1122270898766365,1.9969374686705377,6.056160875613102,0.4011770765818714,0.9604058962344366,0.22812030395657676,138001015.2037785,31480833.534602124,0.0,1.0,P4,7fb3a8f203396ec01555caf452afa398a3ca2bb627143f4beaa3213960355b7d
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,888705aaf9586f607e58aa7c7c80fa3e311d03987f28d0844d411db5134c6bef,Water,0.6477,True,False,NONE,0.20725263438310682,0.7366776951050362,0.12971378592248706,0.20810758090970125,0.08401561914199487,0.1347912801552135,0.5294250607219294,0.07839379498721419,1.5977687561054965,6.753405174583999,0.05552381086764615,1.3536768038735594,0.3133671579511505,0.0,0.0,0.0,1.0,P4,3a46c196a8f24f4c2c6badd60636a35db2d5ba8c3eb0aaaaf31e7325c804ad7f
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,888705aaf9586f607e58aa7c7c80fa3e311d03987f28d0844d411db5134c6bef,Vaccine,13.916,True,False,NONE,0.20725263438310682,0.7366776951050362,0.12971378592248706,0.20810758090970125,1.80509704489733,2.8960250959394025,0.5294250607219294,0.07839379498721419,1.5977687561054965,6.753405174583999,0.05552381086764615,1.3536768038735594,0.3133671579511505,0.0,0.0,0.0,1.0,P4,46123ebb9390089792de99a0c58b27f20014fa61f1c6c9071a7b0cf2b89e3cbd
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,888705aaf9586f607e58aa7c7c80fa3e311d03987f28d0844d411db5134c6bef,Crackers,0.09372,True,True,R0,0.20725263438310682,0.7366776951050362,0.12971378592248706,0.20810758090970125,0.012156776016655487,0.0195038424828572,0.5294250607219294,0.07839379498721419,1.5977687561054965,6.753405174583999,0.05552381086764615,1.3536768038735594,0.3133671579511505,295507077.09389716,92602212.90336607,0.0,1.0,P4,65d6ea0a9336d5041f64656f4cfdeaf2e6c5b13290068e843ae8722382a5ac09
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,1bece451a05b4595e082d1c62a82f615a4300f5ed6f4706723749f7a4303ee2a,Water,0.6477,False,False,NONE,0.40155053831225107,0.8760158066854603,0.05018832949515882,0.17601281812712813,0.03250698101401437,0.1140035023009409,0.47446526837320924,0.12582448863196932,8.000874752186855,3.770849963563116,0.25037527191324255,1.4839278185106197,0.36465021073963155,0.0,0.0,18778115.09301475,0.9999999999999974,P1,79acf31e98709624a0977088ff81e7a450fa5aae6e9ae592972530e56109de37
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,1bece451a05b4595e082d1c62a82f615a4300f5ed6f4706723749f7a4303ee2a,Vaccine,13.916,False,False,NONE,0.40155053831225107,0.8760158066854603,0.05018832949515882,0.17601281812712813,0.6984207932546301,2.449394377057115,0.47446526837320924,0.12582448863196932,8.000874752186855,3.770849963563116,0.25037527191324255,1.4839278185106197,0.36465021073963155,0.0,0.0,483859.6496734721,0.9999999999999974,P1,2788658b87d7a43dd492576289216afd242317f7f81ae472d1199e779a5898f3
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,1bece451a05b4595e082d1c62a82f615a4300f5ed6f4706723749f7a4303ee2a,Crackers,0.09372,False,False,NONE,0.40155053831225107,0.8760158066854603,0.05018832949515882,0.17601281812712813,0.004703650240286284,0.016495921314874446,0.47446526837320924,0.12582448863196932,8.000874752186855,3.770849963563116,0.25037527191324255,1.4839278185106197,0.36465021073963155,0.0,0.0,0.0,0.9999999999999974,P1,00ab4d2cf4da6883236b48d762e1bf6174666189b154d44136c6079715ec4757
