commodity,F_active,NONE,R0,R1,R2,mean_A_R1,median_A_R1,mean_A_R2,median_A_R2,mean_F_quantity,median_F_quantity,mean_F_exposure,median_F_exposure
Water,356,644,343,5,8,2.1595365631880448,1.5480510736265831,2.5614824824368028,1.8451268621461758,15958581.726141822,15687419.206970442,4750006.66278781,3985861.4426545305
Vaccine,225,775,158,49,18,3.657492615968919,2.2501055394355465,2.533348807276658,1.8683996199282316,1614941.1575193724,1519999.518790039,477486.2130920403,392964.74520855065
Crackers,579,421,522,32,25,2.3756084821204673,1.5890380158266604,2.4442683196179043,1.742376559885891,215162394.75436234,196357554.19610196,64279097.90113882,50356710.37728673
