policy_label,N,OOS_total_cost_mean_min,OOS_total_cost_mean_median,OOS_total_cost_mean_mean,OOS_total_cost_mean_P90,OOS_total_cost_mean_P95,OOS_total_cost_mean_max,OOS_total_cost_max_min,OOS_total_cost_max_median,OOS_total_cost_max_mean,OOS_total_cost_max_P90,OOS_total_cost_max_P95,OOS_total_cost_max_max,OOS_shortage_loss_mean_min,OOS_shortage_loss_mean_median,OOS_shortage_loss_mean_mean,OOS_shortage_loss_mean_P90,OOS_shortage_loss_mean_P95,OOS_shortage_loss_mean_max,OOS_shortage_loss_max_min,OOS_shortage_loss_max_median,OOS_shortage_loss_max_mean,OOS_shortage_loss_max_P90,OOS_shortage_loss_max_P95,OOS_shortage_loss_max_max,OOS_exercise_cost_mean_min,OOS_exercise_cost_mean_median,OOS_exercise_cost_mean_mean,OOS_exercise_cost_mean_P90,OOS_exercise_cost_mean_P95,OOS_exercise_cost_mean_max,OOS_exercise_cost_max_min,OOS_exercise_cost_max_median,OOS_exercise_cost_max_mean,OOS_exercise_cost_max_P90,OOS_exercise_cost_max_P95,OOS_exercise_cost_max_max,OOS_mean_minus_in_sample_robust_T_COST_min,OOS_mean_minus_in_sample_robust_T_COST_median,OOS_mean_minus_in_sample_robust_T_COST_mean,OOS_mean_minus_in_sample_robust_T_COST_P90,OOS_mean_minus_in_sample_robust_T_COST_P95,OOS_mean_minus_in_sample_robust_T_COST_max,OOS_max_minus_in_sample_robust_T_COST_min,OOS_max_minus_in_sample_robust_T_COST_median,OOS_max_minus_in_sample_robust_T_COST_mean,OOS_max_minus_in_sample_robust_T_COST_P90,OOS_max_minus_in_sample_robust_T_COST_P95,OOS_max_minus_in_sample_robust_T_COST_max
P1,22,94175404.49668397,95012619.71070689,95378063.68302222,96699074.97095448,97014182.09983906,97929478.5562758,1455128663.8085544,1460489676.6222582,1461660206.9730315,1472451526.3841894,1473803190.8603377,1474881477.180933,75037498.6412455,75874713.85526843,76240157.82758375,77561169.11551602,77876276.24440058,78791572.70083733,1435990757.953116,1441351770.7668197,1442522301.1175928,1453313620.528751,1454665285.0048993,1455743571.3254945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1144821805.3590257,-1131655189.0407758,-1132063192.9247355,-1126521121.7188709,-1126385067.4571989,-1125781834.87262,234218950.36527348,234218950.3652737,234218950.3652736,234218950.3652737,234218950.3652737,234218950.3652737
P2,2,89670942.05049813,91375299.89423873,91375299.89423873,92738786.1692312,92909221.95360526,93079657.73797932,1458474002.370591,1461073278.0133371,1461073278.0133371,1463152698.5275342,1463412626.091809,1463672553.6560836,75486210.22189894,76238663.58446917,76238663.58446917,76840626.27452536,76915871.61078238,76991116.94703941,1439336096.5151525,1441935372.157899,1441935372.157899,1444014792.6720958,1444274720.2363706,1444534647.800645,3327247.367245993,3690304.196651793,3690304.196651793,3980749.6601764336,4017055.3431170136,4053361.0260575935,6376612.43174455,7691573.742320726,7691573.742320726,8743542.790781666,8875038.921839282,9006535.0528969,-1136373945.5528305,-1135479027.7538247,-1135479027.7538247,-1134763093.5146203,-1134673601.7347198,-1134584109.9548192,234218950.3652737,234218950.3652737,234218950.3652737,234218950.3652737,234218950.3652737,234218950.3652737
P3a,1,95274321.1112263,95274321.1112263,95274321.1112263,95274321.1112263,95274321.1112263,95274321.1112263,1470485641.571456,1470485641.571456,1470485641.571456,1470485641.571456,1470485641.571456,1470485641.571456,77646438.68750662,77646438.68750662,77646438.68750662,77646438.68750662,77646438.68750662,77646438.68750662,1451347735.7160175,1451347735.7160175,1451347735.7160175,1451347735.7160175,1451347735.7160175,1451347735.7160175,2548563.4031046764,2548563.4031046764,2548563.4031046764,2548563.4031046764,2548563.4031046764,2548563.4031046764,4058586.834823465,4058586.834823465,4058586.834823465,4058586.834823465,4058586.834823465,4058586.834823465,-1140992370.094956,-1140992370.094956,-1140992370.094956,-1140992370.094956,-1140992370.094956,-1140992370.094956,234218950.3652737,234218950.3652737,234218950.3652737,234218950.3652737,234218950.3652737,234218950.3652737
P4,75,73092545.18399318,93082904.80382724,92133501.25165883,100091200.52508178,100461207.25111774,103310985.66460024,1376115752.2237399,1449780419.2266512,1444790160.8491783,1469006970.9650517,1471572483.6105602,1475173753.8720453,67504165.98371693,87128927.91686387,82806712.29446137,88266456.8837418,88658723.96038702,89135880.32155603,1356977846.3683014,1430642513.3712127,1425652254.9937396,1449869065.1096132,1452434577.7551217,1456035848.0166068,1693385.5564641396,3812786.512728341,4037494.3217141326,6770150.304816126,7667493.546831993,9092903.5689115,6178059.974883583,14185616.417064674,13848611.219955135,18629786.014188424,18846162.64276089,19096538.55871975,-1146617455.3220756,-1121502198.5555081,-1118437709.2322457,-1095420651.2193484,-1076964092.6807191,-1055102970.6526204,234218950.36527348,234218950.3652737,234218950.36527365,234218950.3652737,234218950.3652737,234218950.36527395
