case_id,N,policy_P1,policy_P2,policy_P3a,policy_P3b,policy_P4,policy_P5,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,T_COST_mean,T_COST_median,budget_usage_mean,worst_scenarios
E3A_H000_MF080,200,0,0,0,0,200,0,0,0,0,1198235146.1653216,1197493021.0773704,1.0,"{""h09"": 200}"
E3A_H000_MF100,200,5,0,0,0,195,0,0,0,0,1213492435.5225918,1212970993.6462436,1.0,"{""h09"": 200}"
E3A_H000_MF120,200,32,0,0,0,168,0,0,0,0,1222993554.572285,1222205152.859264,0.9999999999999999,"{""h09"": 200}"
E3A_H050_MF080,200,0,0,0,0,200,0,0,0,0,1198235146.1653216,1197493021.0773706,1.0,"{""h09"": 200}"
E3A_H050_MF100,200,2,3,0,0,195,0,3,0,3,1213514755.6803293,1212970993.6462436,1.0,"{""h09"": 200}"
E3A_H050_MF120,200,24,7,1,0,168,0,8,0,8,1223125094.0945628,1222330232.878644,0.9999999999999999,"{""h09"": 200}"
E3A_H100_MF080,200,0,0,0,0,200,0,0,0,0,1198235146.1653216,1197493021.0773704,1.0,"{""h09"": 200}"
E3A_H100_MF100,200,1,4,0,0,195,0,4,0,4,1213522566.4923081,1212970993.6462436,1.0,"{""h09"": 200}"
E3A_H100_MF120,200,18,11,2,1,168,0,14,0,14,1223218065.6741865,1222387977.3517337,0.9999999999999999,"{""h09"": 200}"
