heldout_scenario,simulation_id,sample_index,baseline_policy_label,loho_policy_label,policy_stable,delta_Q_Water,delta_F_Water,baseline_R_Water,loho_R_Water,R_stable_Water,delta_Q_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,loho_R_Vaccine,R_stable_Vaccine,delta_Q_Crackers,delta_F_Crackers,baseline_R_Crackers,loho_R_Crackers,R_stable_Crackers,canonical_policy_hash_stable,first_stage_stable,delta_first_stage_cost,row_sha256
h01,LA-0336,336,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,2.9802322387695312e-08,R0,R0,True,False,True,9.313225746154785e-10,36247bc3a2ebdd3bedfcbbcf804ead488d6c881ad72bf9992a23efa97e69fe2a
h01,LA-0303,303,P4,P4,True,0.0,17098267.062717788,NONE,R0,False,0.0,0.0,NONE,NONE,True,0.0,-118166320.7055304,R0,R0,True,False,False,9.313225746154785e-10,51f3b9b17e6b1777dcaa47448e559b11cac73bad8c544f98d29ebffc37c4ef06
h01,LA-0434,434,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,61bb7a846d60a0b960e97c3167ba67ccb159691dd04d9d5ee15e2f360e2b6ebb
h01,LA-0251,251,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,94d218b12c6ac980d9c5358886b88415f66eed26a3dfdca3a519a6806fcee013
h01,LA-0758,758,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,081c4923f3809df7ce5a7fe69545bcd445a5f74625678fc9dacee2fac4b730dc
h01,LA-0129,129,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,8736797468475c1ea2a391727e08ad8ae3c747136325ca8291b16ed98ad3282f
h01,LA-0534,534,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,526e84b46c3c08b905e7116153bf4b999d74d3327bc5c04de18152ff0b106478
h01,LA-0988,988,P4,P4,True,0.0,-18486814.854118276,R0,NONE,False,0.0,860441.9359738727,R0,R0,True,0.0,0.0,NONE,NONE,True,False,False,0.0,7310d4dcdba697db61f396d9c0c0c1b64ac43f6cfa3099dc588cf9b11a92c3c7
h01,LA-0056,56,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R1,R1,True,False,True,0.0,975e04564c051ab5fdb37166e057a0faabff5c69ffae0d5d534ad3c4be2d7a26
h01,LA-0241,241,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,512716c09a8f5f5153b89c6823fc995dd9455d627c11bb7822ba727be47d4477
