source_row,paper_country_code,country,iso3,population_source_location,year,population_1_july_persons,original_population_thousands,variant,source_dataset,source_reference,source_locator,transformation_rule,provenance_class
71819,BHS,Bahamas,BHS,Bahamas,2023,399440,399.44,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71819,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71820,BHS,Bahamas,BHS,Bahamas,2024,401283,401.283,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71820,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71821,BHS,Bahamas,BHS,Bahamas,2025,403033,403.033,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71821,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71966,BRB,Barbados,BRB,Barbados,2018,280711,280.711,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71966,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71967,BRB,Barbados,BRB,Barbados,2019,281207,281.207,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71967,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71968,BRB,Barbados,BRB,Barbados,2020,281698,281.698,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71968,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71969,BRB,Barbados,BRB,Barbados,2021,282146,282.146,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71969,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71970,BRB,Barbados,BRB,Barbados,2022,282318,282.318,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71970,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71971,BRB,Barbados,BRB,Barbados,2023,282336,282.336,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71971,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71972,BRB,Barbados,BRB,Barbados,2024,282467,282.467,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71972,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
