simulation_id,input_sha256,data_sha256,scenario_sha256,a1_status,a1_objective,a1_certificate,a1_result_sha256,a0_objective,ef_objective,a1_a0_absolute_difference,a1_ef_absolute_difference,objective_tolerance,iterations,worst_scenario
LA-0034,b6a09f1b58b2fbf1794374e4eee392d33de36403806d9cac077fea29336b5fb6,1c4536345eee02dca551471923e778e78f7b9cc28658be454eedb7c905d4b71f,bd68408f1951098423db48e448b74a56348dc659be90387e185220ed24851237,certified,140975185.05270317,PASS,3c6fe653660793a67a3b266c534f7d11eae4d8b999c7bf34cd7ef0d9058ad855,140975185.05270317,140975185.05270314,0.0,2.9802322387695312e-08,0.14097528505270318,4,omega_21
LA-0098,013e0e1d22a2b4571c505d4b63e9049aa369067fa9f467ef9066da824c3ce638,d524dad6752567957a2907e7d3cece2dbc832013695872da14f0fb6deebfc832,9742f3c54c29326db35461c3d1824fdb7bd764e61743cf2cbee2a13c0c9079d6,certified,133872189.27607694,PASS,e2c4dfb5eb62d31ff52b88a97b980680d4f8e62f77dd84bcef214e286a9b49cc,133872189.27607696,133872189.27607694,1.4901161193847656e-08,0.0,0.13387228927607697,4,omega_21
LA-0161,c4e9e4b2097005b797ccdf40c9f33dd8383da789d894125b5e3589586824439b,0306e5e7a44345d35e5659286f2559a347bf34c3764b969aaacb8c52ac25c89b,85ac092cd629c7d90b35ea2ba250147becc643f83ee0cce64a5fb469b66786d9,certified,135045128.77319765,PASS,0c0b46c0a3d6b1e017eecd7b9d5c8a24587407fe5ceb8436b2b40d82be9c3cbc,135045128.77319765,135045128.77319765,0.0,0.0,0.13504522877319766,4,omega_21
LA-0511,62323a8bbb37db96af200fc550f3ca9759e5437996d609189fcfd5900f185b99,8272372047d088f0ae0865564ad9581b169c778bdb8f80a8d29b1f90b62c6de9,087e099000c09f47b0675ad442688e20bc29d1d4aac63346f0416f9ef2394ff1,certified,131991322.6965025,PASS,c6e43e3fac2b17c89cd028037d07ef08d25785b8a0a0bf0e109f0c54c364b64d,131991322.6965025,131991322.6965025,0.0,0.0,0.13199142269650252,4,omega_21
LA-0565,6b3ed578625072eaa3f19b9d6452714e37c3b34b053f93f8cdcd91db8bc5e379,90632ab976eec91d77cf6b1c137505b032843ed7134960c5832d7014ef278b8b,2d0671b93935c008bdbfe1b07eb995b9e14276e118f962360e0cfbb7efd629e2,certified,140012738.99078885,PASS,af1644b6b79ee07254f3c95770efeb1eada07d0bfda2cd7c80b29032c5de7788,140012738.99078885,140012738.99078885,0.0,0.0,0.14001283899078887,4,omega_21
LA-0591,7ed35c1b5f3a3cb38aea16cd11617ddd3d277a5ab83f8e2a152dd97abece5de2,9d97118d87f5952bdcad43a92f42422b003ae2879a2f378bab1e24fd418d5c6a,2432d1a64ddbcc213bec6d124c3ebc3f730f61c01d7c0153524699e2ce872f80,certified,142303492.76049817,PASS,f97b97108d875f81c49b4df28ba14a9b6ef81ce4d2f54d134dc492f1414360de,142303492.76049814,142303492.76049817,2.9802322387695312e-08,0.0,0.14230359276049817,4,omega_21
LA-0695,34260d440e449966f1f72b0d54c554a8f1d4d359d480e4acfe4ba4847ab475c3,4a37aafb57a484ebd029a2c3c7b13e49bb22fce5c31ba941d717ffcfbcec5bd4,0a70e2cd427b13077f142e01e52af21e867b4fdeca68e65b372078b8c1e6802d,certified,135834407.01441646,PASS,0fa1b6f201647feb93bf3e38ce1e95b3fa7710803ab026d10a06647da6cf5a32,135834407.01441643,135834407.01441643,2.9802322387695312e-08,2.9802322387695312e-08,0.13583450701441646,4,omega_21
LA-0783,b532f42ac1d1247a545abed2992d2ff15b916300c3984eab4343263b0474c9e5,dd68296e00f409c1ded03f2a82cee2c4dbb16d9529a665dbe9501ec4fc28cfc8,0fcd44b09455aa715089d4f0480191904d68237ab01101259765395270a702b2,certified,134741614.8450757,PASS,a84a27c2630edb14eb2646c11dd9cd31dd4941eb71bcee77e47b4fdbac3345a5,134741614.8450757,134741614.8450757,0.0,0.0,0.13474171484507572,4,omega_21
