case_id,a_C,m_F,phi,psi,N,T_COST_min,T_COST_Q25,T_COST_median,T_COST_mean,T_COST_Q75,T_COST_max,first_stage_cost_min,first_stage_cost_Q25,first_stage_cost_median,first_stage_cost_mean,first_stage_cost_Q75,first_stage_cost_max,worst_exercise_cost_min,worst_exercise_cost_Q25,worst_exercise_cost_median,worst_exercise_cost_mean,worst_exercise_cost_Q75,worst_exercise_cost_max,worst_shortage_penalty_min,worst_shortage_penalty_Q25,worst_shortage_penalty_median,worst_shortage_penalty_mean,worst_shortage_penalty_Q75,worst_shortage_penalty_max,budget_usage_min,budget_usage_Q25,budget_usage_median,budget_usage_mean,budget_usage_Q75,budget_usage_max
CQF_A100_MF080,1.0,0.8,0.16,0.68,200,1188010729.5474637,1191973890.0192819,1197493021.0773706,1198235146.1653216,1204072843.2779622,1212872117.9542837,4161236.283083032,4834973.563292124,5773225.84316718,5899387.108118878,6891795.61726776,8387672.312242414,10750233.543196063,12246110.238170717,13364680.012271298,13238518.747319601,14302932.292146353,14976669.572355445,1168872823.6920252,1172835984.1638436,1178355115.221932,1179097240.309883,1184934937.4225237,1193734212.0988452,0.9999999999999996,1.0,1.0,1.0,1.0,1.0
CQF_A100_MF100,1.0,1.0,0.2,0.85,200,1205630340.8090584,1208770960.4696827,1212970993.6462436,1213492435.5225918,1218135729.540574,1224481838.7456315,4161236.283083032,4828617.960965656,5721125.010984892,6124269.79883039,6818631.388530139,19137905.85543848,0.0,12319274.466908341,13416780.844453584,13013636.056608088,14309287.894472823,14976669.572355445,1186492434.95362,1189633054.614244,1193833087.790805,1194354529.6671534,1198997823.6851356,1205343932.890193,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002
CQF_A100_MF120,1.0,1.2,0.24,1.02,200,1217376748.3167882,1219737442.3887503,1222205152.859264,1222993554.572285,1226159497.7149398,1232980943.2704275,4161236.2830830314,4822569.0510827545,5790881.0315379,7774586.103458017,7096593.514053881,19137905.85543848,0.0,12041312.341384597,13347024.823900577,11363319.75198046,14315336.804355724,14976669.572355445,1198238842.4613497,1200599536.5333118,1203067247.0038254,1203855648.7168462,1207021591.8595014,1213843037.414989,0.9999999999999998,1.0,1.0,1.0,1.0,1.0
CQF_A090_MF080,0.9,0.8,0.16,0.68,200,1188010729.5474637,1191973890.0192819,1197493021.0773706,1198235146.1653216,1204072843.2779622,1212872117.9542837,4161236.283083032,4834973.563292124,5773225.84316718,5899387.108118878,6891795.61726776,8387672.312242414,10750233.543196063,12246110.238170717,13364680.012271298,13238518.747319601,14302932.292146353,14976669.572355445,1168872823.6920252,1172835984.1638436,1178355115.221932,1179097240.309883,1184934937.4225237,1193734212.0988452,0.9999999999999996,1.0,1.0,1.0,1.0,1.0
CQF_A090_MF100,0.9,1.0,0.2,0.85,200,1205630340.8090584,1208770960.4696827,1212970993.6462436,1213514755.6803293,1218135729.540574,1224481838.7456315,4161236.283083032,4828617.960965656,5721125.010984893,6039945.374448937,6818631.388530137,19137905.85543848,0.0,12319274.466908338,13416780.844453584,13097960.48098954,14309287.894472823,14976669.572355445,1186492434.95362,1189633054.614244,1193833087.790805,1194376849.8248909,1198997823.6851356,1205343932.890193,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002
CQF_A090_MF120,0.9,1.2,0.24,1.02,200,1217376748.3167882,1219895032.3799126,1222330232.878644,1223125094.0945628,1226209831.7916117,1232980943.2704275,4161236.2830830314,4822569.0510827545,5790881.0315379,7513697.4882042715,7096593.51405388,19137905.85543848,0.0,12041312.341384595,13347024.823900577,11624208.367234204,14315336.804355724,14976669.572355445,1198238842.4613497,1200757126.5244741,1203192327.0232053,1203987188.239124,1207071925.9361734,1213843037.414989,0.9999999999999961,1.0,1.0,0.9999999999999999,1.0,1.0
CQF_A080_MF080,0.8,0.8,0.16,0.68,200,1188010729.5474637,1191973890.0192819,1197493021.0773706,1198235146.1653216,1204072843.2779622,1212872117.9542837,4161236.283083032,4834973.563292124,5773225.84316718,5899387.108118878,6891795.61726776,8387672.312242414,10750233.543196063,12246110.238170717,13364680.012271298,13238518.747319601,14302932.292146353,14976669.572355445,1168872823.6920252,1172835984.1638436,1178355115.221932,1179097240.309883,1184934937.4225237,1193734212.0988452,0.9999999999999996,1.0,1.0,1.0,1.0,1.0
CQF_A080_MF100,0.8,1.0,0.2,0.85,200,1205630340.8090584,1208770960.4696827,1212970993.6462436,1213514755.6803293,1218135729.540574,1224481838.7456315,4161236.283083032,4828617.960965656,5721125.010984893,6039945.374448937,6818631.388530137,19137905.85543848,0.0,12319274.466908338,13416780.844453584,13097960.48098954,14309287.894472823,14976669.572355445,1186492434.95362,1189633054.614244,1193833087.790805,1194376849.8248909,1198997823.6851356,1205343932.890193,0.9999999999999998,1.0,1.0,1.0,1.0,1.0000000000000002
CQF_A080_MF120,0.8,1.2,0.24,1.02,200,1217376748.3167882,1219895032.3799126,1222330232.878644,1223125094.0945625,1226209831.7916117,1232980943.2704275,4161236.2830830314,4822569.0510827545,5790881.0315379,7513697.4882042715,7096593.51405388,19137905.85543848,0.0,12041312.341384595,13347024.823900577,11624208.367234204,14315336.804355724,14976669.572355445,1198238842.4613497,1200757126.5244741,1203192327.0232053,1203987188.239124,1207071925.9361732,1213843037.414989,0.9999999999999961,1.0,1.0,0.9999999999999999,1.0,1.0
