case_id,simulation_id,sample_index,input_sha256,policy_transition,baseline_T_COST,case_T_COST,delta_T_COST,baseline_worst_total_shortage,case_worst_total_shortage,delta_worst_total_shortage,baseline_worst_shortage_penalty,case_worst_shortage_penalty,delta_worst_shortage_penalty,baseline_normalized_shortage_value,case_normalized_shortage_value,delta_normalized_shortage_value,baseline_budget_usage,case_budget_usage,delta_budget_usage,baseline_Q_Water,case_Q_Water,delta_Q_Water,baseline_F_Water,case_F_Water,delta_F_Water,baseline_R_Water,case_R_Water,baseline_worst_shortage_Water,case_worst_shortage_Water,delta_worst_shortage_Water,baseline_weighted_shortage_loss_Water,case_weighted_shortage_loss_Water,delta_weighted_shortage_loss_Water,baseline_C_Q_Water,case_C_Q_Water,delta_C_Q_Water,baseline_C_F_Water,case_C_F_Water,delta_C_F_Water,baseline_C_R_Water,case_C_R_Water,delta_C_R_Water,baseline_Q_Vaccine,case_Q_Vaccine,delta_Q_Vaccine,baseline_F_Vaccine,case_F_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,case_R_Vaccine,baseline_worst_shortage_Vaccine,case_worst_shortage_Vaccine,delta_worst_shortage_Vaccine,baseline_weighted_shortage_loss_Vaccine,case_weighted_shortage_loss_Vaccine,delta_weighted_shortage_loss_Vaccine,baseline_C_Q_Vaccine,case_C_Q_Vaccine,delta_C_Q_Vaccine,baseline_C_F_Vaccine,case_C_F_Vaccine,delta_C_F_Vaccine,baseline_C_R_Vaccine,case_C_R_Vaccine,delta_C_R_Vaccine,baseline_Q_Crackers,case_Q_Crackers,delta_Q_Crackers,baseline_F_Crackers,case_F_Crackers,delta_F_Crackers,baseline_R_Crackers,case_R_Crackers,baseline_worst_shortage_Crackers,case_worst_shortage_Crackers,delta_worst_shortage_Crackers,baseline_weighted_shortage_loss_Crackers,case_weighted_shortage_loss_Crackers,delta_weighted_shortage_loss_Crackers,baseline_C_Q_Crackers,case_C_Q_Crackers,delta_C_Q_Crackers,baseline_C_F_Crackers,case_C_F_Crackers,delta_C_F_Crackers,baseline_C_R_Crackers,case_C_R_Crackers,delta_C_R_Crackers,row_sha256
E2D_LAMBDA_VACCINE,LA-0079,79,2db5bba1310fc6d403128044ad0bc9238ffbb7f184f6e79ebb15cf3ce219c71b,P4->P4,1205260724.143529,1435836693.287574,230575969.1440451,1880362671.629474,1880684563.4213872,321891.79191327095,1186122818.2880905,1416698787.4321356,230575969.1440451,296530704.5720226,354174696.8580339,57643992.28601128,1.0,1.0,0.0,0.0,0.0,0.0,402827.53472533147,0.0,-402827.53472533147,R0,NONE,10062394.867747597,10400000.0,337605.1322524026,26069652.623360477,26944320.000000004,874667.3766395263,0.0,0.0,0.0,33512.214774465465,0.0,-33512.214774465465,0.0,0.0,0.0,0.0,0.0,0.0,1499921.873627749,1518670.8959216264,18749.022293877322,R0,R0,8300276.761726249,8284563.421387079,-15713.340339169838,462026605.66472995,691727907.4321356,229701301.76740563,0.0,0.0,0.0,2680977.3430343866,2714489.557808852,33512.21477446519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dc421a49ddeec00ff0785f468f24a29a1e802c6334bb375eac01737c5fa46f04
E2D_LAMBDA_CRACKERS,LA-0079,79,2db5bba1310fc6d403128044ad0bc9238ffbb7f184f6e79ebb15cf3ce219c71b,P4->P4,1205260724.143529,1518849973.2875748,313589249.1440458,1880362671.629474,1692968703.1342006,-187393968.49527335,1186122818.2880905,1499712067.4321363,313589249.1440458,296530704.5720226,374928016.8580341,78397312.28601146,1.0,1.0,0.0,0.0,0.0,0.0,402827.53472533147,0.0,-402827.53472533147,R0,NONE,10062394.867747597,10400000.0,337605.1322524026,26069652.623360477,26944320.000000004,874667.3766395263,0.0,0.0,0.0,33512.214774465465,0.0,-33512.214774465465,0.0,0.0,0.0,0.0,0.0,0.0,1499921.873627749,0.0,-1499921.873627749,R0,NONE,8300276.761726249,9557344.06438629,1257067.3026600406,462026605.66472995,531999999.99999845,69973394.3352685,0.0,0.0,0.0,2680977.3430343866,0.0,-2680977.3430343866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225499617.8792718,225499617.8792718,NONE,R0,1862000000.0,1673011359.0698142,-188988640.9301858,698026560.0,940767747.4321378,242741187.43213785,0.0,0.0,0.0,0.0,2714489.5578088523,2714489.5578088523,0.0,0.0,0.0,cbcacc68b8d515eb93ae2b3adb32e7a28a2126713c5b9ffb33960dcf5806141d
E2D_LAMBDA_WATER,LA-0080,80,767df1245d20d80741dfd4fbe80031014f35f4df4a9f845ee1a0c50bb9fc1ab8,P4->P4,1216604114.493364,1216604114.493364,0.0,1784701946.7050376,1784701946.7050376,0.0,1197466208.6379256,1197466208.6379256,0.0,299366552.1594814,299366552.1594814,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14504733.025962869,14504733.025962869,0.0,R0,R0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016065.8569531783,1016065.8569531783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121135995.24627636,121135995.24627636,0.0,R0,R0,1775144602.6406512,1775144602.6406512,0.0,665466208.6379273,665466208.6379273,0.0,0.0,0.0,0.0,1227845.472047576,1227845.472047576,0.0,0.0,0.0,0.0,90c794fa77c3c402f9ca8955c0b2ff9edfb15c6cbb29890f1737a62876ee1426
E2D_LAMBDA_VACCINE,LA-0080,80,767df1245d20d80741dfd4fbe80031014f35f4df4a9f845ee1a0c50bb9fc1ab8,P4->P4,1216604114.493364,1452851778.8123274,236247664.3189633,1784701946.7050376,1880888346.662797,96186399.95775938,1197466208.6379256,1433713872.956889,236247664.3189633,299366552.1594814,358428468.2392222,59061916.07974082,1.0,0.9999999999999998,-2.220446049250313e-16,0.0,0.0,0.0,14504733.025962869,0.0,-14504733.025962869,R0,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,1016065.8569531783,0.0,-1016065.8569531783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490915.5687983017,1490915.5687983017,NONE,R0,9557344.06438629,8488346.662796885,-1068997.4015894048,531999999.99999845,708742992.9568888,176742992.95689034,0.0,0.0,0.0,0.0,2243911.329000754,2243911.329000754,0.0,0.0,0.0,0.0,0.0,0.0,121135995.24627636,0.0,-121135995.24627636,R0,NONE,1775144602.6406512,1862000000.0,86855397.35934877,665466208.6379273,698026560.0,32560351.362072706,0.0,0.0,0.0,1227845.472047576,0.0,-1227845.472047576,0.0,0.0,0.0,07dafa59551e8b8dc0f7c0c7310cefbe5a23d8eb823a6ecb58f90918728739b9
E2D_LAMBDA_CRACKERS,LA-0080,80,767df1245d20d80741dfd4fbe80031014f35f4df4a9f845ee1a0c50bb9fc1ab8,P4->P4,1216604114.493364,1535865058.8123279,319260944.31896377,1784701946.7050376,1723227426.8586867,-61474519.84635091,1197466208.6379256,1516727152.9568894,319260944.31896377,299366552.1594814,379181788.23922235,79815236.07974094,1.0,1.0,0.0,0.0,0.0,0.0,14504733.025962869,0.0,-14504733.025962869,R0,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,1016065.8569531783,0.0,-1016065.8569531783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121135995.24627636,221378372.33671758,100242377.09044121,R0,R0,1775144602.6406512,1703270082.7943003,-71874519.84635091,665466208.6379273,957782832.9568908,292316624.3189635,0.0,0.0,0.0,1227845.472047576,2243911.3290007543,1016065.8569531783,0.0,0.0,0.0,524c9eb4f2b5fe005c1015c8143db8360300ef16d501c8b66ae662771e884447
E2D_LAMBDA_WATER,LA-0081,81,5ed46d1e32037f41dc7e4d48ec1ad95679d145611efe334d983f328487f47433,P4->P4,1214248021.7988744,1214248021.7988741,-2.384185791015625e-07,1716942501.8307045,1778417021.6770554,61474519.84635091,1195110115.943436,1195110115.9434357,-2.384185791015625e-07,298777528.985859,298777528.9858589,-5.960464477539063e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21064859.376630727,21064859.376630727,NONE,R1,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,0.0,0.0,0.0,0.0,3730105.752134103,3730105.752134103,0.0,705807.4834224911,705807.4834224911,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334232158.3374437,188652672.44069034,-145579485.89675337,R1,R1,1696985157.766318,1768859677.612669,71874519.84635091,636165795.9434373,663110115.9434373,26944320.0,0.0,0.0,0.0,8563852.857997343,4833747.10586324,-3730105.7521341033,1620445.058600662,914637.5751781707,-705807.4834224914,31b9d9a614b64c04053a952ee72575abd821870a511632010ee8feac3e8153b0
E2D_LAMBDA_VACCINE,LA-0081,81,5ed46d1e32037f41dc7e4d48ec1ad95679d145611efe334d983f328487f47433,P4->P4,1214248021.7988744,1449317639.7705922,235069617.97171783,1716942501.8307045,1880846019.6166902,163903517.7859857,1195110115.943436,1430179733.9151537,235069617.97171783,298777528.985859,357544933.47878844,58767404.49292946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250951.270435845,2250951.270435845,NONE,R1,9557344.06438629,8446019.616690064,-1111324.4476962257,531999999.99999845,705208853.9151536,173208853.91515517,0.0,0.0,0.0,0.0,8563852.857997341,8563852.857997341,0.0,1620445.0586006618,1620445.0586006618,0.0,0.0,0.0,334232158.3374437,0.0,-334232158.3374437,R1,NONE,1696985157.766318,1862000000.0,165014842.23368192,636165795.9434373,698026560.0,61860764.05656266,0.0,0.0,0.0,8563852.857997343,0.0,-8563852.857997343,1620445.058600662,0.0,-1620445.058600662,271167805b512d54b3240bbbfb093f126803c08efaaa679c87a68008c434fa8f
E2D_LAMBDA_CRACKERS,LA-0081,81,5ed46d1e32037f41dc7e4d48ec1ad95679d145611efe334d983f328487f47433,P4->P4,1214248021.7988744,1532330919.770593,318082897.97171855,1716942501.8307045,1716942501.8307045,0.0,1195110115.943436,1513193013.9151545,318082897.97171855,298777528.985859,378298253.4787886,79520724.49292964,1.0,0.9999999999999998,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334232158.3374437,334232158.33744365,-5.960464477539063e-08,R1,R1,1696985157.766318,1696985157.766318,0.0,636165795.9434373,954248693.9151559,318082897.97171855,0.0,0.0,0.0,8563852.857997343,8563852.857997341,-1.862645149230957e-09,1620445.058600662,1620445.0586006616,-4.656612873077393e-10,7cd247d12e55c70408a9c6e3cfa0663bd8d81a735cf76620ba21311f9bb64456
E2D_LAMBDA_WATER,LA-0082,82,3da360d3c2d49535757fde4ce0a609aae7546beb14c59b767b4bf786fc6fd480,P4->P4,1188656095.4875,1188656095.4875,0.0,1880074828.8450923,1870470315.2779546,-9604513.567137718,1169518189.6320615,1169518189.6320615,0.0,292379547.4080154,292379547.4080154,0.0,0.9999999999999998,1.0,2.220446049250313e-16,0.0,0.0,0.0,442511.7579555412,14089436.642584706,13646924.884629164,R0,R0,10073363.641181514,0.0,-10073363.641181514,26098070.521573067,0.0,-26098070.521573067,0.0,0.0,0.0,6283.804824437662,200074.389790966,193790.58496652835,0.0,0.0,0.0,0.0,0.0,0.0,2107832.368096814,1472656.0783746017,-635176.2897222124,R0,R0,8001465.20391076,8470315.277954541,468850.0740437815,445393559.11048853,471491629.6320616,26098070.521573067,0.0,0.0,0.0,643094.0106462534,449303.4256797251,-193790.5849665283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907b1af8c1c2de75e5562e35a11917f612c8b3b3c39a52deb8d9e711b073a2f
E2D_LAMBDA_VACCINE,LA-0082,82,3da360d3c2d49535757fde4ce0a609aae7546beb14c59b767b4bf786fc6fd480,P4->P4,1188656095.4875,1410929750.303531,222273654.81603098,1880074828.8450923,1880386262.3891933,311433.54410099983,1169518189.6320615,1391791844.4480925,222273654.81603098,292379547.4080154,347947961.1120231,55568413.704007745,0.9999999999999998,1.0,2.220446049250313e-16,0.0,0.0,0.0,442511.7579555412,0.0,-442511.7579555412,R0,NONE,10073363.641181514,10400000.0,326636.35881848633,26098070.521573067,26944320.000000004,846249.478426937,0.0,0.0,0.0,6283.804824437662,0.0,-6283.804824437662,0.0,0.0,0.0,0.0,0.0,0.0,2107832.368096814,2128428.434899617,20596.06680280296,R0,R0,8001465.20391076,7986262.389193403,-15202.814717357047,445393559.11048853,666820964.4480925,221427405.33760393,0.0,0.0,0.0,643094.0106462534,649377.8154706911,6283.804824437713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,db87622ad34678c5d042807f658d914d09845c47e44642f0312ef18d33296ef7
E2D_LAMBDA_CRACKERS,LA-0082,82,3da360d3c2d49535757fde4ce0a609aae7546beb14c59b767b4bf786fc6fd480,P4->P4,1188656095.4875,1493943030.3035316,305286934.8160317,1880074828.8450923,1648675519.5660486,-231399309.27904367,1169518189.6320615,1474805124.4480932,305286934.8160317,292379547.4080154,368701281.1120233,76321733.70400792,0.9999999999999998,1.0,2.220446049250313e-16,0.0,0.0,0.0,442511.7579555412,0.0,-442511.7579555412,R0,NONE,10073363.641181514,10400000.0,326636.35881848633,26098070.521573067,26944320.000000004,846249.478426937,0.0,0.0,0.0,6283.804824437662,0.0,-6283.804824437662,0.0,0.0,0.0,0.0,0.0,0.0,2107832.368096814,0.0,-2107832.368096814,R0,NONE,8001465.20391076,9557344.06438629,1555878.86047553,445393559.11048853,531999999.99999845,86606440.88950992,0.0,0.0,0.0,643094.0106462534,0.0,-643094.0106462534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316039373.6669128,316039373.6669128,NONE,R0,1862000000.0,1628718175.5016623,-233281824.49833775,698026560.0,915860804.4480946,217834244.4480946,0.0,0.0,0.0,0.0,649377.815470691,649377.815470691,0.0,0.0,0.0,c7929449b77f8dc9bf0317c13c224576cfa7e672ad0447a01a4113d7c0f0d1a5
E2D_LAMBDA_WATER,LA-0083,83,a5228df1055d490679fdd9d6298c014804b6b251a772e20eabc5cabfe6a6f64a,P4->P4,1218743945.6247818,1218743945.6247818,0.0,1880926788.584531,1871010841.4732924,-9915947.111238718,1199606039.7693431,1199606039.7693431,0.0,299901509.9423358,299901509.9423358,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13016724.028694397,13016724.028694397,NONE,R0,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,0.0,0.0,0.0,0.0,63777.72784836156,63777.72784836156,0.0,0.0,0.0,0.0,0.0,0.0,1289851.565147384,684007.0585804565,-605844.5065669275,R0,R0,8526788.584531171,9010841.47329231,484052.88876113854,474635159.76934314,501579479.76934314,26944320.0,0.0,0.0,0.0,135783.68904078758,72005.96119242601,-63777.72784836157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271f9ca264d1720ca37e18ec211a306cdcef1e3ed3a6ca8f4dd797f482381a3
E2D_LAMBDA_VACCINE,LA-0083,83,a5228df1055d490679fdd9d6298c014804b6b251a772e20eabc5cabfe6a6f64a,P4->P4,1218743945.6247818,1456061525.5094535,237317579.8846717,1880926788.584531,1880926788.584531,0.0,1199606039.7693431,1436923619.6540148,237317579.8846717,299901509.9423358,359230904.9135037,59329394.97116792,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289851.565147384,1289851.565147384,0.0,R0,R0,8526788.584531171,8526788.584531171,0.0,474635159.76934314,711952739.6540147,237317579.88467157,0.0,0.0,0.0,135783.68904078758,135783.68904078758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30db745ee6cb869b6b5fc071747444a8adaacc924d5ea674864eef557f534dc6
E2D_LAMBDA_CRACKERS,LA-0083,83,a5228df1055d490679fdd9d6298c014804b6b251a772e20eabc5cabfe6a6f64a,P4->P4,1218743945.6247818,1539074805.509454,320330859.88467216,1880926788.584531,1728935469.7828689,-151991318.8016622,1199606039.7693431,1519936899.6540155,320330859.8846724,299901509.9423358,379984224.9135039,80082714.9711681,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289851.565147384,0.0,-1289851.565147384,R0,NONE,8526788.584531171,9557344.06438629,1030555.4798551183,474635159.76934314,531999999.99999845,57364840.23065531,0.0,0.0,0.0,135783.68904078758,0.0,-135783.68904078758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191523414.218854,191523414.218854,NONE,R0,1862000000.0,1708978125.7184825,-153021874.2815175,698026560.0,960992579.654017,262966019.65401697,0.0,0.0,0.0,0.0,135783.68904078758,135783.68904078758,0.0,0.0,0.0,6e1d69a8dea8b88b02ec7e914fd989caceb1c8353df28b95cf3d6afab0e57d30
E2D_LAMBDA_WATER,LA-0084,84,452c3c78fd656a973d7af41d0ebe4577827d2893ba70adaee7f1600da04f8cce,P4->P4,1223678172.1310673,1223678172.131067,-2.384185791015625e-07,1881015431.6304188,1871099484.5191798,-9915947.111238956,1204540266.2756288,1204540266.2756286,-2.384185791015625e-07,301135066.5689072,301135066.56890714,-5.960464477539063e-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12357128.263107423,12357128.263107423,NONE,R0,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,0.0,0.0,0.0,0.0,3318678.0384059455,3318678.0384059455,0.0,0.0,0.0,0.0,0.0,0.0,1119166.6114569942,544022.0314042005,-575144.5800527937,R0,R0,8615431.630418738,9099484.519179875,484052.8887611367,479569386.2756287,506513706.27562857,26944319.99999988,0.0,0.0,0.0,6457773.894728516,3139095.8563225707,-3318678.0384059455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c177b079ff642f74e37bd6461bccac18592200c2574edce98511786b74d81432
E2D_LAMBDA_VACCINE,LA-0084,84,452c3c78fd656a973d7af41d0ebe4577827d2893ba70adaee7f1600da04f8cce,P4->P4,1223678172.1310673,1463462865.2688816,239784693.13781428,1881015431.6304188,1881015431.6304188,0.0,1204540266.2756288,1444324959.413443,239784693.13781428,301135066.5689072,361081239.8533608,59946173.28445357,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119166.6114569942,1119166.6114569942,0.0,R0,R0,8615431.630418738,8615431.630418738,0.0,479569386.2756287,719354079.4134431,239784693.1378144,0.0,0.0,0.0,6457773.894728516,6457773.894728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25fada65fac81fb3ae80bb9220edcac138cb4e8c65eea270eec538e3003ce6c6
E2D_LAMBDA_CRACKERS,LA-0084,84,452c3c78fd656a973d7af41d0ebe4577827d2893ba70adaee7f1600da04f8cce,P4->P4,1223678172.1310673,1546476145.268882,322797973.13781476,1881015431.6304188,1742097619.0207195,-138917812.60969925,1204540266.2756288,1527338239.4134436,322797973.13781476,301135066.5689072,381834559.8533609,80699493.28445369,1.0,0.9999999999999998,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119166.6114569942,0.0,-1119166.6114569942,R0,NONE,8615431.630418738,9557344.06438629,941912.4339675512,479569386.2756287,531999999.99999845,52430613.724369764,0.0,0.0,0.0,6457773.894728516,0.0,-6457773.894728516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166179284.73149306,166179284.73149306,NONE,R0,1862000000.0,1722140274.9563332,-139859725.04366684,698026560.0,968393919.4134451,270367359.4134451,0.0,0.0,0.0,0.0,6457773.894728515,6457773.894728515,0.0,0.0,0.0,0cb9e57aaedb84843e49da935d00e17ef6c14c8967ba65c7ecd95b014ee8d04c
E2D_LAMBDA_WATER,LA-0085,85,92ddeb682e0a88f56f8964b6505371edba64d812ac8567a7874c4b86a25887f9,P1->P1,1229724802.587282,1229724802.587282,0.0,1871208111.8268871,1871208111.8268871,0.0,1210586896.7318435,1210586896.7318435,0.0,302646724.18296087,302646724.18296087,0.0,1.0,1.0,0.0,16909420.001470003,16909420.001470003,0.0,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,0.0,0.0,10952231.334952122,10952231.334952122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567818.7098006628,567818.7098006628,0.0,0.0,0.0,0.0,NONE,NONE,9208111.826887101,9208111.826887101,0.0,512560336.7318436,512560336.7318436,0.0,8185674.520486356,8185674.520486356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,edbb5177ebc5577b426b60ec8c2f569dfadca4ccb98aa4c432aa0d411b687676
E2D_LAMBDA_VACCINE,LA-0085,85,92ddeb682e0a88f56f8964b6505371edba64d812ac8567a7874c4b86a25887f9,P1->P1,1229724802.587282,1473934603.4060342,244209800.8187523,1871208111.8268871,1881140847.6759436,9932735.849056482,1210586896.7318435,1454796697.5505958,244209800.8187523,302646724.18296087,363699174.38764894,61052450.20468807,1.0,1.0,0.0,16909420.001470003,0.0,-16909420.001470003,0.0,0.0,0.0,NONE,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,10952231.334952122,0.0,-10952231.334952122,0.0,0.0,0.0,0.0,0.0,0.0,567818.7098006628,1327546.188640294,759727.4788396311,0.0,0.0,0.0,NONE,NONE,9208111.826887101,8740847.675943706,-467264.15094339475,512560336.7318436,729825817.5505958,217265480.81875217,8185674.520486356,19137905.85543848,10952231.334952123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a8660c133cf952a1205a818fe56272e5ee74e25ba0e6aba9c3748903695e302a
E2D_LAMBDA_CRACKERS,LA-0085,85,92ddeb682e0a88f56f8964b6505371edba64d812ac8567a7874c4b86a25887f9,P1->P1,1229724802.587282,1561560761.4021802,331835958.81489825,1871208111.8268871,1768923298.5862658,-102284813.24062133,1210586896.7318435,1542422855.5467417,331835958.81489825,302646724.18296087,385605713.88668543,82958989.70372456,1.0,1.0,0.0,16909420.001470003,0.0,-16909420.001470003,0.0,0.0,0.0,NONE,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,10952231.334952122,0.0,-10952231.334952122,0.0,0.0,0.0,0.0,0.0,0.0,567818.7098006628,0.0,-567818.7098006628,0.0,0.0,0.0,NONE,NONE,9208111.826887101,9557344.06438629,349232.23749918863,512560336.7318436,531999999.99999845,19439663.26815486,8185674.520486356,0.0,-8185674.520486356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204203007.42038497,204203007.42038497,0.0,0.0,0.0,NONE,NONE,1862000000.0,1748965954.5218794,-113034045.47812057,698026560.0,983478535.5467432,285451975.54674315,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,95c236bc19b822cdfefb19f8b06675e0d167000e3d54873d484fc9186744f513
E2D_LAMBDA_WATER,LA-0086,86,78b0e42b8034387220c039146144af1d18e990c3c80dfbf66557f8829ab7c942,P1->P1,1230630272.5222373,1230630272.5222373,0.0,1871224378.5331059,1871224378.5331059,0.0,1211492366.6667988,1211492366.6667988,0.0,302873091.6666997,302873091.6666997,0.0,1.0,1.0,0.0,17253147.025850445,17253147.025850445,0.0,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,0.0,0.0,11174863.328643335,11174863.328643335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552375.3140118717,552375.3140118717,0.0,0.0,0.0,0.0,NONE,NONE,9224378.533105755,9224378.533105755,0.0,513465806.6667988,513465806.6667988,0.0,7963042.526795142,7963042.526795142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950a270c55893d3614821f6c5770be234f2bd3b72b1719bdaa87379ef8049d0c
