priority_case,outcome_commodity,mean_delta_Q,median_delta_Q,increased_Q,unchanged_Q,decreased_Q,mean_delta_F,median_delta_F,increased_F,unchanged_F,decreased_F,mean_delta_worst_shortage,median_delta_worst_shortage,improved_worst_shortage,unchanged_worst_shortage,worsened_worst_shortage,mean_delta_weighted_shortage_loss,median_delta_weighted_shortage_loss,improved_weighted_shortage_loss,unchanged_weighted_shortage_loss,worsened_weighted_shortage_loss,mean_delta_C_Q,median_delta_C_Q,mean_delta_C_F,median_delta_C_F,mean_delta_C_R,median_delta_C_R
E2D_LAMBDA_WATER,Water,0.0,0.0,0,1000,0,7686835.212491497,0.0,444,556,0,-4605031.757612175,0.0,444,556,0,-11930716.277621625,0.0,444,556,0,0.0,0.0,1087018.377895862,0.0,113262.94483513395,0.0
E2D_LAMBDA_WATER,Vaccine,-7.974449545145035e-12,0.0,0,1000,0,-94070.61624137379,0.0,90,741,169,55880.31494730883,0.0,90,741,169,3110521.8512269976,0.0,90,741,169,-1.1641532182693481e-10,0.0,-255518.48063996437,0.0,-39756.50594145532,0.0
E2D_LAMBDA_WATER,Crackers,0.0,0.0,0,1000,0,-39155745.534739494,0.0,35,655,310,23528047.44556825,0.0,35,655,310,8820194.426394626,0.0,35,655,310,0.0,0.0,-831499.8972558979,0.0,-73506.43889367864,0.0
E2D_LAMBDA_VACCINE,Water,-3901529.4204973173,0.0,0,759,241,-5681255.09450649,0.0,0,644,356,5794968.242387825,10400000.0,0,403,597,15013603.722378379,26944320.000000004,0,403,597,-2527020.6056561125,0.0,-720909.448035692,0.0,-18865.727175554814,0.0
E2D_LAMBDA_VACCINE,Vaccine,150710.5917270676,0.0,208,792,0,1129909.2591166773,1187451.6650684401,677,323,0,-758373.3104990481,-784334.5576599641,885,115,0,194128728.50224373,198497320.50532687,0,0,1000,2172643.8903374067,0.0,3107626.9390431615,2324579.705952624,149974.46190859916,0.0
E2D_LAMBDA_VACCINE,Crackers,0.0,0.0,0,1000,0,-124579026.56277582,-90070132.39494194,0,421,579,73115295.20898409,54193268.30601692,0,421,579,27409461.867943965,20315972.42255962,0,421,579,0.0,0.0,-2283867.436625303,-1124522.3812384051,-119302.12571835026,0.0
E2D_LAMBDA_CRACKERS,Water,-3901529.4204973173,0.0,0,759,241,-5681255.09450649,0.0,0,644,356,5794968.242387825,10400000.0,0,403,597,15013603.722378379,26944320.000000004,0,403,597,-2527020.6056561125,0.0,-720909.448035692,0.0,-18865.727175554814,0.0
E2D_LAMBDA_CRACKERS,Vaccine,-125419.01551011347,0.0,0,792,208,-363361.7604418588,0.0,0,775,225,307205.14387493,0.0,0,567,433,17100267.128654107,0.0,0,567,433,-1808040.527593796,0.0,-864266.5862451239,0.0,-109397.05023463178,0.0
E2D_LAMBDA_CRACKERS,Crackers,29813639.083376206,0.0,146,854,0,109877457.58845448,95843472.578341,568,432,0,-83575252.57122909,-71874519.84635091,714,286,0,288312513.04017437,289534252.58712345,0,0,1000,2794134.2548940177,0.0,2024179.726716833,1003187.0490928459,171991.67785151416,0.0
