level,mean,median,Q25,Q75,near_binding,slack,mean_C_Q,mean_C_F,mean_C_R,mean_worst_exercise_cost
BETA4_BASELINE,0.9999999999999999,1.0,1.0,1.0,1000,0,4335061.133249909,3869043.470906119,247564.90312853685,10686236.348153912
BETA2,0.9667492062264353,1.0,1.0,1.0,964,36,4128396.87844959,3735401.0245602597,224825.4939692435,10412931.897602307
BETA6,0.9999999999999999,1.0,1.0,1.0,1000,0,4335061.133249909,3869043.470906119,247564.90312853685,10686236.348153912
LAMBDA_WATER,0.9999999999999999,1.0,1.0,1.0,1000,0,4335061.133249909,3869043.470906119,247564.90312853685,10686236.348153912
LAMBDA_VACCINE,0.9999999999999999,1.0,1.0,1.0,1000,0,3980684.4179312023,3971893.525288285,259371.51214323094,10925956.400075758
LAMBDA_CRACKERS,1.0,1.0,1.0,1.0,1000,0,2794134.2548940177,4308047.163342135,291293.80356986437,11744430.633632459
