contrast,outcome,min,Q25,median,mean,Q75,max,unchanged,decreased,increased
MED_HIGH_UNF_REF,R2_item_count,0.0,0.0,0.0,0.025,0.0,1.0,195,,5
MED_HIGH_UNF_REF,worst_shortage_Water,-10400000.0,0.0,0.0,1301.9259928127285,0.0,20800000.0,157,21,22
MED_HIGH_UNF_REF,worst_shortage_Vaccine,-1949319.6616976056,0.0,0.0,-7919.0565599132515,0.0,1729895.1424377058,146,26,28
MED_HIGH_UNF_REF,worst_shortage_Crackers,-256863218.11953807,0.0,0.0,1235620.1168497063,0.0,289444434.615705,127,35,38
MED_HIGH_UNF_REF,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,25775.934915784597,0.0,539586.1835763454,183,,17
MED_HIGH_UNF_REF,T_COST,-2.384185791015625e-07,0.0,0.0,25775.934915784597,0.0,539586.1835763454,183,,17
MED_HIGH_UNF_REF,budget_usage,-4.440892098500626e-16,0.0,0.0,-3.3306690738754695e-18,0.0,2.220446049250313e-16,200,,
MED_HIGH_REF_FAV,F_total,-513331009.2923766,0.0,0.0,2458118.9694504635,0.0,606316514.784986,123,33,44
MED_HIGH_REF_FAV,F_Water,-38853958.73122526,0.0,0.0,-1622735.8299270237,0.0,20938594.871777847,157,27,16
MED_HIGH_REF_FAV,F_Vaccine,-4111042.734313651,0.0,0.0,7417.205039073062,0.0,3480567.763848043,151,30,19
MED_HIGH_REF_FAV,F_Crackers,-516811577.0562246,0.0,0.0,4073437.5943384147,0.0,610427557.5192997,126,33,41
MED_HIGH_REF_FAV,paid_R_any,0.0,0.0,0.0,0.07,0.0,1.0,186,,14
MED_HIGH_REF_FAV,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,200,,
MED_HIGH_REF_FAV,R2_item_count,0.0,0.0,0.0,0.07,0.0,1.0,186,,14
MED_HIGH_REF_FAV,worst_shortage_Water,-10400000.0,0.0,0.0,923442.9747358721,0.0,20800000.0,157,15,28
MED_HIGH_REF_FAV,worst_shortage_Vaccine,-1728764.7507239897,0.0,0.0,-12534.818096973315,0.0,2041915.6442292705,151,25,24
MED_HIGH_REF_FAV,worst_shortage_Crackers,-303193535.0522251,0.0,0.0,-4729280.385773181,0.0,256695372.0771985,126,46,28
MED_HIGH_REF_FAV,worst_shortage_penalty,-1506717.4870951176,0.0,0.0,-78194.68662287355,0.0,2.384185791015625e-07,181,19,
MED_HIGH_REF_FAV,T_COST,-1506717.4870951176,0.0,0.0,-78194.68662287713,0.0,2.384185791015625e-07,181,19,
MED_HIGH_REF_FAV,budget_usage,-4.440892098500626e-16,0.0,0.0,8.881784197001253e-18,0.0,4.440892098500626e-16,200,,
