case_id,simulation_id,sample_index,input_sha256,source_first_stage_sha256,replay_first_stage_sha256,certified_status_invariant,first_stage_identity_invariant,policy_label_invariant,Q_F_R_invariant,objective_invariant,worst_scenario_invariant,all_categorical_scientific_fields_invariant,all_numeric_scientific_fields_invariant,certificate_valid,replay_result_sha256,comparison_sha256
E2A_VACCINE_H0,LA-0014,14,9d4bc8f108e222b9004ae3749404dd15c5af542ba54e3695e483c3ab081694fe,8ffe68a62175f3958f81cad509b71a2afcdc7f93bbcccbc9b0820d7a5bef5a38,8ffe68a62175f3958f81cad509b71a2afcdc7f93bbcccbc9b0820d7a5bef5a38,True,True,True,True,True,True,True,True,True,21a76f44e666b0c776ab17d0cadf4fd25489f986b343292ec2261ab21678eb2d,28ad0cac99aab4e4767acb78570b631397e69735b937234cdf02046f13417a95
E2A_VACCINE_H0,LA-0015,15,092ddd62a98a4bd89bf76f067ac2de26c73a2fb505374668c940be8fe91083b9,a6d00774bf68d67279fd3a069d09605f72e51fa672302404ee55c4561df43ce8,a6d00774bf68d67279fd3a069d09605f72e51fa672302404ee55c4561df43ce8,True,True,True,True,True,True,True,True,True,1109070ca515ba07f7493d9f36302af825816b620ddec7c7588fdd27cc26120b,2820df293df90693ee251bc8c8942d66e3477e7795945b2fbba094feb9599bc2
E2A_VACCINE_H0,LA-0016,16,b2ff17041ea2f1be7864efa886f0891854b8633d52a824c042ee5a29d0f2043b,6e6de73bbe9f344954c70d917d81bfb254e0ce26d2f74344ebee7d35555d57c1,6e6de73bbe9f344954c70d917d81bfb254e0ce26d2f74344ebee7d35555d57c1,True,True,True,True,True,True,True,True,True,e7029e69a4fa1fb0a892036f47265f1ac682ae2566f0960e488b40ee69b4edea,e72103ffa6629ddaa25e0a884965d014a15c8e4c8b0cac387e2622adfd46b41c
E2A_VACCINE_H0,LA-0017,17,9d8be22567afcabbf94ce470787e9f63ad71892883ca72fe79ea5ccd3e06ce5e,31d68dc836173d9b68f2c442bf8c2896f0508e7cc7bf185afd46a46dce6cf518,31d68dc836173d9b68f2c442bf8c2896f0508e7cc7bf185afd46a46dce6cf518,True,True,True,True,True,True,True,True,True,117f2cb338e67080c6fa60a1733d01876a6cc70e565e5082d52ddfbff672a844,1be4c8373a2012eb23fc0687ef047027962019d57648eeac381a1956fed16b3d
E2A_VACCINE_H0,LA-0018,18,88740ccdbf47f9612cd99ce867900cdc74d3705aedf2a3bdefb1d376a8ffba59,f54c00046fc3450f3e633307d7c0937820691c914c080b1dfed8c43e8b0ad200,f54c00046fc3450f3e633307d7c0937820691c914c080b1dfed8c43e8b0ad200,True,True,True,True,True,True,True,True,True,0e03d9ead0a00525240a8077e205d6234aaff6083cbf34666e2c7b7773c70d74,729797d868dba897d9ba0489e6d331b3d7c34c19d539ff4e54273a6552668e13
E2A_VACCINE_H0,LA-0019,19,9770a34977e95b015e0cefe0df348623152eb9589c95eaf2349fbd268071b51a,36147554480c0d59f3766b002d6fcda82c064dd050d213138039f008fb89d028,36147554480c0d59f3766b002d6fcda82c064dd050d213138039f008fb89d028,True,True,True,True,True,True,True,True,True,9f7a812112eecbf8fe2fb1392b4326f7defd3478d6826c4362afb590aa6cee45,046636e40061b4ed5d569c28db1d10b717329d7e63d65d229f62bccd243eb54c
E2A_VACCINE_H0,LA-0020,20,3c0d1d5974307dcb77a0b9e21ab6afb89052e6f263f5080ada8651af93c00448,d9056d8fdff89d1590b76ef65c7c68cf325f5c096041057a9a6f0a9545ae36f7,d9056d8fdff89d1590b76ef65c7c68cf325f5c096041057a9a6f0a9545ae36f7,True,True,True,True,True,True,True,True,True,350bc6db0f397349527f3eddf8ae54f8a0e8187f41c2e65eb849b2d6c07e4592,e4fff422df7d78f0ff03845c131fc34882fa17830598a130e610ad02df72f24b
E2A_VACCINE_H0,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,4dcd3e76a0a1af001e3cad39815fec41d042dd7b92a2950d33f00a52a3e290e3,4dcd3e76a0a1af001e3cad39815fec41d042dd7b92a2950d33f00a52a3e290e3,True,True,True,True,True,True,True,True,True,801bcc1a9d9ecbc732887d6ab4a2e0dc413b5318f4d14efb6a532d12eb22cdf3,249044014254134d080f1ea55e218dedb36cbb1383137ad3934cb49363fecc01
E2A_VACCINE_H0,LA-0022,22,6bb63a048030f05350d49e0f95e43d5d1d8afce87fc056fd4148eceb507c86a1,a5dec7bb2e1f92cd06c2bddc3b44c47f8aba2791b991592b25f0c5d4fe3b4fc7,a5dec7bb2e1f92cd06c2bddc3b44c47f8aba2791b991592b25f0c5d4fe3b4fc7,True,True,True,True,True,True,True,True,True,e1230755bf667e99b341f90a1d19bf58bf34292d03837dc4df88ac25edf6a450,558ec986b69c4e5a151bea40afd7d075ef7b83a287bd3110c47c4c68a3298785
E2A_VACCINE_H0,LA-0023,23,6e9f2f6ea49a02cd8d73697d95a8c6eec0807082c1aeab51b67a21fc03ab6414,12d22b9a38628107425a34437784bbe327fa0c9433f2795a4bd287108035386e,12d22b9a38628107425a34437784bbe327fa0c9433f2795a4bd287108035386e,True,True,True,True,True,True,True,True,True,4e2b0e3549b6a46f7797db3e7d2c10113778cc8df461cc02bd84aefd6d651570,68b722b4d6241ffcbdfc4e1cc186a51299846290e90586df8fa13bd9b060927a
