comparison,from,to,count
B075_B100,P1,P1,208
B075_B100,P1,P3b,1
B075_B100,P2,P2,26
B075_B100,P3a,P3a,4
B075_B100,P3b,P3b,2
B075_B100,P4,P4,759
B100_B125,P1,P1,208
B100_B125,P2,P2,26
B100_B125,P3a,P3a,4
B100_B125,P3b,P3b,3
B100_B125,P4,P4,759
B075_B125,P1,P1,208
B075_B125,P1,P3b,1
B075_B125,P2,P2,26
B075_B125,P3a,P3a,4
B075_B125,P3b,P3b,2
B075_B125,P4,P4,759
