budget_level,commodity,mean,median,Q25,Q75,zero_frequency,positive_frequency
B075,Water,4944873.929907701,2.7939677238464355e-09,0.0,10400000.0,516,484
B075,Vaccine,9367936.38363389,9557344.06438629,9323048.148517704,9557344.06438629,0,1000
B075,Crackers,1808600788.6525576,1831470242.6806178,1757682021.288637,1862000000.0,0,1000
B100,Water,4605031.757612175,0.0,0.0,10400000.0,556,444
B100,Vaccine,9250138.92051136,9557344.06438629,9073245.614802893,9557344.06438629,0,1000
B100,Crackers,1788884704.7910159,1807806731.693983,1723464240.3884692,1862000000.0,0,1000
B125,Water,4429054.074826037,0.0,0.0,10400000.0,572,428
B125,Vaccine,9129573.831330337,9557344.06438629,8819449.200831901,9557344.06438629,0,1000
B125,Crackers,1768447413.7476594,1777196797.0221028,1691039931.6991274,1862000000.0,0,1000
