budget_level,commodity,Q_active,F_active,R_NONE,R_R0,R_R1,R_R2,mean_Q,median_Q,mean_F,median_F
B075,Water,241,309,691,286,14,9,3898505.7755287136,0.0,5222102.125662225,0.0
B075,Vaccine,205,215,785,138,50,27,56422.29503922831,0.0,241428.15565121447,0.0
B075,Crackers,0,574,426,531,31,12,0.0,0.0,90433830.41662216,48453643.01701367
B100,Water,241,356,644,343,5,8,3901529.4204973173,0.0,5681255.09450649,0.0
B100,Vaccine,208,225,775,158,49,18,125419.01551011347,0.0,363361.7604418588,0.0
B100,Crackers,0,579,421,522,32,25,0.0,0.0,124579026.56277582,90070132.39494194
B125,Water,241,376,624,366,1,9,3901529.4204973173,0.0,6092799.033594865,0.0
B125,Vaccine,208,235,765,172,41,22,194451.4173194087,0.0,481175.41002497653,0.0
B125,Crackers,0,569,431,508,40,21,0.0,0.0,159673330.02092707,139573807.89679182
