cell,simulation_id,sample_index,input_sha256,baseline_T_COST_REF,treated_T_COST_REF,delta_T_COST_REF,baseline_reference_shortage_loss,treated_reference_shortage_loss,delta_reference_shortage_loss,baseline_first_stage_cost,treated_first_stage_cost,delta_first_stage_cost,baseline_C_Q,treated_C_Q,delta_C_Q,baseline_C_F,treated_C_F,delta_C_F,baseline_C_R,treated_C_R,delta_C_R,baseline_emergency_expenditure,treated_emergency_expenditure,delta_emergency_expenditure,T_COST_REF_direction,baseline_Q_Water,treated_Q_Water,delta_Q_Water,baseline_F_Water,treated_F_Water,delta_F_Water,baseline_shortage_Water,treated_shortage_Water,delta_shortage_Water,baseline_reference_shortage_loss_Water,treated_reference_shortage_loss_Water,delta_reference_shortage_loss_Water,R_transition_Water,baseline_Q_Vaccine,treated_Q_Vaccine,delta_Q_Vaccine,baseline_F_Vaccine,treated_F_Vaccine,delta_F_Vaccine,baseline_shortage_Vaccine,treated_shortage_Vaccine,delta_shortage_Vaccine,baseline_reference_shortage_loss_Vaccine,treated_reference_shortage_loss_Vaccine,delta_reference_shortage_loss_Vaccine,R_transition_Vaccine,baseline_Q_Crackers,treated_Q_Crackers,delta_Q_Crackers,baseline_F_Crackers,treated_F_Crackers,delta_F_Crackers,baseline_shortage_Crackers,treated_shortage_Crackers,delta_shortage_Crackers,baseline_reference_shortage_loss_Crackers,treated_reference_shortage_loss_Crackers,delta_reference_shortage_loss_Crackers,R_transition_Crackers,audit_row_sha256
E2D_LAMBDA_WATER,LA-0258,258,8076e9721a659a74df944c7f3513bfeefb1089acb1efc0ccefd86e56dfaeff6c,1204901032.9690244,1204901032.9690244,0.0,1185763127.113586,1185763127.113586,0.0,6305702.285927083,6305702.285927083,0.0,0.0,0.0,0.0,6305702.285927083,6305702.285927083,0.0,0.0,0.0,0.0,12832203.569511393,12832203.569511393,0.0,unchanged,0.0,0.0,0.0,15108415.30025261,15108415.30025261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,171529332.1203249,171529332.1203249,0.0,1743926395.4160995,1743926395.4160995,0.0,653763127.1135874,653763127.1135874,0.0,R0->R0,1e35435bab9def8cd6461f5518dfc9412a9cd46478af81300fdef66f53ddaf3a
E2D_LAMBDA_VACCINE,LA-0258,258,8076e9721a659a74df944c7f3513bfeefb1089acb1efc0ccefd86e56dfaeff6c,1204901032.9690244,1204901032.9690242,-2.384185791015625e-07,1185763127.113586,1185763127.1135857,-2.384185791015625e-07,6305702.285927083,6305702.285927083,0.0,0.0,0.0,0.0,6305702.285927083,6305702.285927083,0.0,0.0,0.0,0.0,12832203.569511393,12832203.569511395,1.862645149230957e-09,unchanged,0.0,0.0,0.0,15108415.30025261,0.0,-15108415.30025261,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,1858396.7804175387,1858396.7804175387,9557344.06438629,8278101.593733576,-1279242.4706527134,531999999.99999845,460792247.11358577,-71207752.88641268,NONE->R0,0.0,0.0,0.0,171529332.1203249,0.0,-171529332.1203249,1743926395.4160995,1862000000.0,118073604.58390045,653763127.1135874,698026560.0,44263432.88641262,R0->NONE,4ad758f033d34cb66148d88c86a89e201a1f9bb1621d943988c0ad383738d0f2
E2D_LAMBDA_CRACKERS,LA-0258,258,8076e9721a659a74df944c7f3513bfeefb1089acb1efc0ccefd86e56dfaeff6c,1204901032.9690244,1204901032.9690244,0.0,1185763127.113586,1185763127.113586,0.0,6305702.285927083,6305702.285927083,0.0,0.0,0.0,0.0,6305702.285927083,6305702.285927083,0.0,0.0,0.0,0.0,12832203.569511393,12832203.569511395,1.862645149230957e-09,unchanged,0.0,0.0,0.0,15108415.30025261,0.0,-15108415.30025261,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,171529332.1203249,275943764.3650285,104414432.24470359,1743926395.4160995,1672051875.5697486,-71874519.84635091,653763127.1135874,626818807.1135874,-26944320.0,R0->R0,f0314377e95279c2dca0c3cc3a9e2fa511860b408bed1c61ff1d767f6e952f66
E2D_LAMBDA_WATER,LA-0259,259,b8b746d5fd3251850a6946a5dc62e955b7cda834c4bef659011599f4c9b2b648,1211532062.8865993,1211532062.8865993,0.0,1192394157.0311608,1192394157.0311608,0.0,6015827.107373331,6015827.10737333,-9.313225746154785e-10,0.0,0.0,0.0,6015827.107373331,6015827.10737333,-9.313225746154785e-10,0.0,0.0,0.0,13122078.748065148,13122078.748065148,0.0,unchanged,0.0,0.0,0.0,420685.6342112121,13568267.951436998,13147582.317225786,10077546.860700577,0.0,-10077546.860700577,26108908.40670306,0.0,-26108908.40670306,R0->R0,0.0,0.0,0.0,1394793.8641429408,882020.3624522589,-512773.5016906819,8488242.522538401,8881280.487050172,393037.96451177076,472489531.77457756,494367597.0311608,21878065.256583214,R0->R0,0.0,0.0,0.0,14723997.197392423,0.0,-14723997.197392423,1850714140.1245203,1862000000.0,11285859.875479698,693795716.8498801,698026560.0,4230843.150119901,R0->NONE,aaef5fc1ce95082fbedaabf0a5c1cdff3d11522a2f8deb32319f65f95da6eba0
E2D_LAMBDA_VACCINE,LA-0259,259,b8b746d5fd3251850a6946a5dc62e955b7cda834c4bef659011599f4c9b2b648,1211532062.8865993,1211532062.8865993,0.0,1192394157.0311608,1192394157.0311608,0.0,6015827.107373331,6015827.107373332,9.313225746154785e-10,0.0,0.0,0.0,6015827.107373331,6015827.107373332,9.313225746154785e-10,0.0,0.0,0.0,13122078.748065148,13122078.748065148,0.0,unchanged,0.0,0.0,0.0,420685.6342112121,0.0,-420685.6342112121,10077546.860700577,10400000.0,322453.1392994225,26108908.40670306,26944320.000000004,835411.5932969451,R0->NONE,0.0,0.0,0.0,1394793.8641429408,1513535.6795078604,118741.8153649196,8488242.522538401,8397227.598289033,-91014.92424936779,472489531.77457756,467423277.0311608,-5066254.743416786,R0->R0,0.0,0.0,0.0,14723997.197392423,0.0,-14723997.197392423,1850714140.1245203,1862000000.0,11285859.875479698,693795716.8498801,698026560.0,4230843.150119901,R0->NONE,31507b6e892dd0d6eda1c0f40b532e6ecc7090ce0bcedcd4110aa3b4390d96ce
E2D_LAMBDA_CRACKERS,LA-0259,259,b8b746d5fd3251850a6946a5dc62e955b7cda834c4bef659011599f4c9b2b648,1211532062.8865993,1211532062.8865993,0.0,1192394157.0311608,1192394157.0311608,0.0,6015827.107373331,6015827.10737333,-9.313225746154785e-10,0.0,0.0,0.0,6015827.107373331,6015827.10737333,-9.313225746154785e-10,0.0,0.0,0.0,13122078.748065148,13122078.748065148,0.0,unchanged,0.0,0.0,0.0,420685.6342112121,0.0,-420685.6342112121,10077546.860700577,10400000.0,322453.1392994225,26108908.40670306,26944320.000000004,835411.5932969451,R0->NONE,0.0,0.0,0.0,1394793.8641429408,0.0,-1394793.8641429408,8488242.522538401,9557344.06438629,1069101.5418478884,472489531.77457756,531999999.99999845,59510468.22542089,R0->NONE,0.0,0.0,0.0,14723997.197392423,224737116.0481368,210013118.85074437,1850714140.1245203,1689740282.306771,-160973857.81774926,693795716.8498801,633449837.0311623,-60345879.81871784,R0->R0,d08f78665151df885df2157860b16241cc00b39de4a5fa928ea665c9364042e7
E2D_LAMBDA_WATER,LA-0260,260,1af97b5528590fc86937e5ca622e565e8824964a3be9e077849f1bd84899efdb,1226334229.76076,1226334229.76076,0.0,1207196323.9053216,1207196323.9053216,0.0,2759646.505054026,2759646.5050540254,-4.656612873077393e-10,0.0,0.0,0.0,2759646.505054026,2759646.5050540254,-4.656612873077393e-10,0.0,0.0,0.0,16378259.350384451,16378259.350384451,0.0,unchanged,0.0,0.0,0.0,0.0,14912465.51352623,14912465.51352623,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,NONE->R0,0.0,0.0,0.0,0.0,588101.2524797337,588101.2524797337,9557344.06438629,9147200.41508554,-410143.64930075034,531999999.99999845,509169763.9053215,-22830236.09467697,NONE->R0,0.0,0.0,0.0,190384346.3787763,0.0,-190384346.3787763,1729225362.5302045,1862000000.0,132774637.46979547,648252003.905323,698026560.0,49774556.09467697,R0->NONE,049b6a894a2bc681c080bc69955f0c8934c6d6b0eb53694e7ace902cdf1ebc35
E2D_LAMBDA_VACCINE,LA-0260,260,1af97b5528590fc86937e5ca622e565e8824964a3be9e077849f1bd84899efdb,1226334229.76076,1226334229.76076,0.0,1207196323.9053216,1207196323.9053216,0.0,2759646.505054026,2759646.5050540254,-4.656612873077393e-10,0.0,0.0,0.0,2759646.505054026,2759646.5050540254,-4.656612873077393e-10,0.0,0.0,0.0,16378259.350384451,16378259.35038445,-1.862645149230957e-09,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,1282180.2919386972,1282180.2919386972,9557344.06438629,8663147.5263244,-894196.5380618889,531999999.99999845,482225443.9053215,-49774556.09467697,NONE->R0,0.0,0.0,0.0,190384346.3787763,0.0,-190384346.3787763,1729225362.5302045,1862000000.0,132774637.46979547,648252003.905323,698026560.0,49774556.09467697,R0->NONE,9869c1dbc40ad9b2436ce0692c098c196b5d734ec43a9e12ac6f47687cbeb5f6
E2D_LAMBDA_CRACKERS,LA-0260,260,1af97b5528590fc86937e5ca622e565e8824964a3be9e077849f1bd84899efdb,1226334229.76076,1226334229.76076,0.0,1207196323.9053216,1207196323.9053216,0.0,2759646.505054026,2759646.505054026,0.0,0.0,0.0,0.0,2759646.505054026,2759646.505054026,0.0,0.0,0.0,0.0,16378259.350384451,16378259.350384451,0.0,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,190384346.3787763,190384346.3787763,0.0,1729225362.5302045,1729225362.5302045,0.0,648252003.905323,648252003.905323,0.0,R0->R0,8eff390635ce9dcc283b96fab95b55e51e20f81853c2ab99b6cb78a16ef81293
E2D_LAMBDA_WATER,LA-0261,261,bb07020453fe8e94583bdc6e37cedeaac09e9f3c9e1d2be8b1e90ae84e0ca878,1229467807.8359265,1229467807.8359265,0.0,1210329901.980488,1210329901.980488,0.0,13362572.363953257,13362572.363953255,-1.862645149230957e-09,10913269.083930172,10913269.083930172,0.0,2449303.2800230845,2449303.280023084,-4.656612873077393e-10,0.0,0.0,0.0,5775333.491485222,5775333.491485222,0.0,unchanged,16849265.221445378,16849265.221445378,0.0,0.0,3.1476216157906645e-09,3.1476216157906645e-09,1.862645149230957e-09,0.0,-1.862645149230957e-09,4.825741052627564e-09,0.0,-4.825741052627564e-09,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,88787671.52936278,88787671.52936275,-2.9802322387695312e-08,1809458765.4195733,1809458765.4195733,0.0,678329901.9804896,678329901.9804896,0.0,R0->R0,6eba0909e795bdf0c987cc44db7270953dfdbf48a94692e6b1e7e28a42fe842d
