cell,C_Q,C_F,C_R,first_stage_cost,emergency_expenditure,reference_shortage_loss,T_COST_REF
E2D_BETA2,4128396.87844959,3735401.0245602597,224825.4939692435,8088623.396979093,10412931.897602307,1198662939.5931816,1217164494.8877633
E2D_BASELINE,4335061.133249909,3869043.470906119,247564.90312853685,8451669.507284565,10686236.348153912,1197447547.281022,1216585453.1364605
E2D_BETA6,4335061.133249909,3869043.470906119,247564.90312853685,8451669.507284565,10686236.348153912,1197447547.281022,1216585453.1364605
E2D_LAMBDA_WATER,4335061.133249909,3869043.470906119,247564.90312853685,8451669.507284565,10686236.348153912,1197447547.281022,1216585453.1364605
E2D_LAMBDA_VACCINE,3980684.4179312023,3971893.525288285,259371.51214323094,8211949.455362719,10925956.400075758,1197656520.9157252,1216794426.7711637
E2D_LAMBDA_CRACKERS,2794134.2548940177,4308047.163342135,291293.80356986437,7393475.221806018,11744430.633632459,1198230727.448152,1217368633.3035905
