simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0017,17,SUCCESS,,,0.5371535999001935,0.2631610006792471,3,1,0,1,3,3,2,2,53,1183466641.5846212,1183466641.5846212,0.0,certified,PASS,h09,PASS,unavailable,f41a05320e1884dd8e484f59cc606d2872056fb3e3173365d50fd105ee945dcb,f07c679153ac31eac4446f45621a594d4b039ea49dba9646fb1410dee4137058,True
LA-0018,18,SUCCESS,,,0.5251306000864133,0.2515497998101637,3,1,0,1,3,3,2,2,53,1226467795.5449753,1226467795.5449755,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,12659a369a8f523bd3b8b2d7d6d1119216d186247f93b032d7a27bc2b0ef88ae,96b58b5a53332593aedcd206df39d4b555390f9f3843afdb1722c5df662636d9,True
LA-0019,19,SUCCESS,,,0.5137318000197411,0.24513800023123622,3,1,0,1,3,3,2,2,53,1216771034.646203,1216771034.646203,0.0,certified,PASS,h09,PASS,unavailable,faed0015a46c1c24311581faf8cf238a44cd942f76960d0c13e9dd8f293d9b4c,fc7fd9f6d10e79e5bbb584975562b5da66d86892b93d054da2e331e64fbdc82a,True
LA-0020,20,SUCCESS,,,0.516156499972567,0.24136569956317544,3,1,0,1,3,3,2,2,53,1189930952.4743433,1189930952.4743433,0.0,certified,PASS,h09,PASS,unavailable,006a93430cbed0b1266c42c951b351b3391ad98050851cedafd25c4fe2ba6da9,019f244e50ad82b46cb812e63618d7c4da2f921223ae09c0b5d89f990c4dfe84,True
LA-0021,21,SUCCESS,,,0.5337962999474257,0.24530410044826567,3,1,0,1,3,3,2,2,53,1234715248.058043,1234715248.0580432,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,1fdefd7e8bbf104a3ab8e55a6ac6809c53b6d8eeda0156119f2864766236771b,043582f464c5592637b935f4ef4e0ae42cfc78aca59ca4ce16f155931b78aeab,True
LA-0022,22,SUCCESS,,,0.6121392999775708,0.28282089985441417,6,1,0,4,6,6,2,2,56,1228734743.3155932,1228734743.3155932,0.0,certified,PASS,h09,PASS,unavailable,fcb1cf67db9b4c3f5a7b653a64db2ac3f2eea5b3f61b8e11745f7327e897eef6,92249fe32783e22a2bbb47cbfcf3cee62d43411f484fc8545841c3ea2558face,True
LA-0023,23,SUCCESS,,,0.5219562000129372,0.24616309988778085,3,1,0,1,3,3,2,2,53,1224529167.9591959,1224529167.9591959,0.0,certified,PASS,h09,PASS,unavailable,630aaea435cfdd20bce0c96f1e8e01f349e048d5a381b3a9b77cf689880e1c19,2b975804a4c131a8b72b8b5446a0373c499205ad0edbfb3fb7fbe7b6976ad9f0,True
LA-0024,24,SUCCESS,,,0.535031299921684,0.25405290035996586,3,1,0,1,3,3,2,2,53,1199923407.196053,1199923407.196053,0.0,certified,PASS,h09,PASS,unavailable,53396b078e25fda92bc24a8ea1e98c3caf7214c951133d98516a122dacff78aa,0d644f62ee04c4a4b0bc5bf128db5ff764dadd770c2f8a5374f6649821b3ded7,True
LA-0025,25,SUCCESS,,,0.5503208000445738,0.24883319961372763,3,1,0,1,3,3,2,2,53,1168146206.429906,1168146206.429906,0.0,certified,PASS,h09,PASS,unavailable,1e2a30af7f4ee71463ef3f9feaf8e96e3d3c32c2e5f60cecd7f307131e470cfd,85eb88393ac77e4e6c9593e0c9d394d856f552d5f7393237e97cad9543c97680,True
LA-0026,26,SUCCESS,,,0.5089289000025019,0.23825330007821321,3,1,0,1,3,3,2,2,53,1205273597.7788215,1205273597.7788215,0.0,certified,PASS,h09,PASS,unavailable,f7646c0b8310b978b7c943622497dba6e45319f1f83bb2be88c84647c4a53be9,1c3c0ec326585aafb455542867e95d139d3ab765708ffbf8ebdaf9108fd1c701,True
