case_id,model_kind,budget_ratio,budget,T_COST,C_Q,C_F,C_R,Q_Water,Q_Vaccine,Q_Crackers,F_Water,F_Vaccine,F_Crackers,R_Water,R_Vaccine,R_Crackers,F_activated,R1_activated,R2_activated,worst_scenario,worst_hurricane,worst_category,shortage_Water,shortage_Vaccine,shortage_Crackers,shortage_penalty
M0_B0.75,M0,0.75,19614935.498907574,1230208205.7759113,19614935.498907574,0.0,0.0,17333333.333333336,581862.8953182278,0.0,0,0,0,NONE,NONE,NONE,False,False,False,h09,Katrina,5,0.0,9208226.32719538,1862000000.0,1210593270.2770038
M1_B0.75,M1,0.75,19614935.498907574,1211937338.948201,0.0,5877134.231882419,0.0,0.0,0.0,0.0,1050000.0,2062775.6653788516,0.0,R0,R0,NONE,True,False,False,h09,Katrina,5,9822500.0,8422817.44842795,1862000000.0,1192322403.4492934
M2_B0.75,M2,0.75,19614935.498907574,1211937338.948201,0.0,5877134.231882419,0.0,0.0,0.0,0.0,0.0,0.0,313547494.2318832,NONE,NONE,R0,True,False,False,h09,Katrina,5,10400000.0,9557344.064386318,1689548878.1724641,1192322403.4492934
M0_B1.00,M0,1.0,26153247.331876762,1221598823.801844,26153247.331876762,0.0,0.0,17333333.333333336,1035408.3887261903,0.0,0,0,0,NONE,NONE,NONE,False,False,False,h09,Katrina,5,0.0,8936099.031150604,1862000000.0,1195445576.4699671
M1_B1.00,M1,1.0,26153247.331876762,1196926158.5976012,0.0,7836178.975843224,0.0,0.0,0.0,0.0,731707.3170731708,2781472.2657335317,0.0,R0,R0,NONE,True,False,False,h09,Katrina,5,9997560.975609755,8027534.318232875,1862000000.0,1170772911.2657244
M2_B1.00,M2,1.0,26153247.331876762,1196926158.5976012,0.0,7836178.975843225,0.0,0.0,0.0,0.0,18909090.909090906,0.0,287382380.4673276,R0,NONE,R0,True,False,False,h09,Katrina,5,0.0,9557344.064386318,1703939690.7429698,1170772911.2657247
M0_B1.25,M0,1.25,32691559.16484595,1212989441.8277767,32691559.16484595,0.0,0.0,17333333.333333336,1488953.882134153,0.0,0,0,0,NONE,NONE,NONE,False,False,False,h09,Katrina,5,0.0,8663971.735105826,1862000000.0,1180297882.6629307
M1_B1.25,M1,1.25,32691559.16484595,1181914978.2470016,0.0,9795223.71980403,0.0,0.0,0.0,0.0,731707.3170731708,3485354.395641841,0.0,R0,R0,NONE,True,False,False,h09,Katrina,5,9997560.975609755,7640399.146783305,1862000000.0,1149223419.0821557
M2_B1.25,M2,1.25,32691559.16484595,1181914978.2470016,0.0,9795223.71980403,0.0,0.0,0.0,0.0,0.0,0.0,522579157.0531386,NONE,NONE,R0,True,False,False,h09,Katrina,5,10400000.0,9557344.064386318,1574581463.6207738,1149223419.0821557
